feature,reason,model,description,Change Reason/Comment
agg902__tu,Excessive Account Balances,gen_xii,Number of aggregate non-mortgage balance decreases over last 3 months,
s114s__tu,Excessive inquiries,gen_xii,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries),
bankruptcycount__ln,Derogatory public record,gen_xii,,
bc97a__tu,Excessive Account Balances,gen_xii,Total open to buy of open credit cards verified in past 3 months,
std205__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Student Loan accounts over the past 24 months,
s004s__tu,"Insufficient credit file, Length of Credit",gen_xii,Average number of months trades have been on file,
std223__tu,Excessive payment to income,gen_xii,Average total Payment Ratio for Student Loan accounts over the past 6 months,
std201__tu,Excessive payment to income,gen_xii,Total Payment Ratio for Student Loan accounts over the past 1 month,
g206s__tu,Excessive Account Balances,gen_xii,Total monthly obligation for joint account verified in past 12 months,
fi01s__tu,Excessive Number of Accounts,gen_xii,Number of finance installment trades,
evictioncount12month__ln,Derogatory public record,gen_xii,Total eviction records on subject's file in the last 12 months,
rev202__tu,High revolving credit balances,gen_xii,Total Payment Ratio for Revolving accounts over the past 3 months,
g226s__tu,Delinquent credit obligations,gen_xii,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months,
subjectabilityprimaryfactor__ln,subjectabilityprimaryfactor__ln,gen_xii,Indicates the primary factor behind the value returned for the SubjectAbilityIndex attribute,x
paymnt07__tu,Excessive Account Balances,gen_xii,Ratio of actual to minimum payment for non-mortgage trades last month,
ret235__tu,Excessive Account Balances,gen_xii,Aggregate Excess Payment for Retail accounts over the past 24 months,
fi34s__tu,Excessive Account Balances,gen_xii,Utilization for open finance installment trades verified in past 12 months,
evictioncount__ln,Derogatory public record,gen_xii,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises,
linkf110__tu,Excessive inquiries,gen_xii,Number of lenders / locations with inquiries within last 3 months,
rev205__tu,High revolving credit balances,gen_xii,Total Payment Ratio for Revolving accounts over the past 24 months,
bankruptcydismissed24month__ln,Derogatory public record,gen_xii,Indicates subject has one or more dismissed bankruptcies on file in the last 24 months,
bc06s__tu,Excessive Number of Accounts,gen_xii,Number of credit card trades opened in past 6 months,
linkf059__tu,Excessive Number of Accounts,gen_xii,"Number of open, collection or charge-off trade segments STOREFRONT LENDER",
