target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ60_3,0,0.001,0.8150040929651633,0.7097461741301172,0.1052579188350461,184
DQ60_4,26,0.2631,0.899725053530045,0.7083182175794397,0.1914068359506052,153
DQ1_7,4,0.0413,0.7911324312200416,0.7081137641083207,0.0830186671117209,998
DQ15_4,6,0.0615,0.8354070564361078,0.7069566054445343,0.1284504509915734,731
DQ15_3,4,0.0413,0.8120103676248616,0.7049666848461219,0.1070436827787396,672
DQ30_2,32,0.3236,0.8084686707408998,0.7020685335962286,0.1064001371446712,38
DQ1_6,8,0.0816,0.7681584130201686,0.6995433827729963,0.0686150302471723,385
DQ15_2,3,0.0312,0.8301476972264072,0.6991009437455378,0.1310467534808694,921
Default_6,22,0.2228,0.8947095014163606,0.6989809564566172,0.1957285449597434,152
DQ1_5,3,0.0312,0.7565271747104569,0.6910471723924432,0.0654800023180137,952
DQ1_4,4,0.0413,0.7517091310925095,0.6836316827648796,0.0680774483276298,756
DQ15_1,23,0.2329,0.8129423899273733,0.6717996210514103,0.141142768875963,90
DQ1_3,4,0.0413,0.7386263986806347,0.668837866741554,0.0697885319390807,703
Default_4,29,0.2933,0.8131358024849313,0.6561610388472824,0.1569747636376489,6
Default_3,6,0.0615,0.9167393425109994,0.654900512214342,0.2618388302966574,30
DQ1_2,2,0.0212,0.7172512982981428,0.6518709694073914,0.0653803288907514,999
DQ1_1,4,0.0413,0.726654392849344,0.6288212455351385,0.0978331473142054,601
DQ1_0,26,0.2631,0.7817829168684445,0.6022419819581326,0.1795409349103118,89
