Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
g232s__tu,"[24.50, 32.50)",1518,0.06067631305460069,684,834,0.549407114624506,-0.2552098775812409,0.003944912325893081,0.0004917801526789019,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,"[32.50, inf)",1334,0.05332160844192182,560,774,0.5802098950524738,-0.38056948270557645,0.007671909240074893,0.0009532430195821201,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive inquiries,Number of inquiries (includes duplicates)
g232s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.0373141905284054,0.004647675545675808,Excessive inquiries,Number of inquiries (includes duplicates)
g251c__tu,"(-inf, 0.50)",3196,0.1277480214245743,1714,1482,0.4637046307884856,0.08850290045664869,0.0009987104712267394,0.0001247980818176739,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g251c__tu,"[0.50, 1.50)",4231,0.16911823487089295,2174,2057,0.48617348144646655,-0.0016142148168469053,4.406796312904227e-07,5.508494793070057e-08,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g251c__tu,"[1.50, inf)",17591,0.7031337437045327,8977,8614,0.48968222386447613,-0.015657428702411595,0.00017241169594410703,2.1551241851990553e-05,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g251c__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g251c__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g251c__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.0011715628468021368,0.00014640440861759515,Delinquent credit obligations,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
in21s__tu,"(-inf, 16.50)",12826,0.5126708769685826,6306,6520,0.5083424294401996,-0.09030720766073677,0.004183565099822305,0.0005227680088014559,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[16.50, 24.50)",2444,0.09768966344232152,1204,1240,0.5073649754500819,-0.08639642557536055,0.0007296323064538958,9.117568313219294e-05,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[24.50, 39.50)",3560,0.14229754576704773,1875,1685,0.47331460674157305,0.04990870277300486,0.0003541209177572879,4.426052116561583e-05,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[39.50, 49.50)",1664,0.0665121112798785,900,764,0.45913461538461536,0.10689258131274598,0.0007580941765825876,9.471668323623506e-05,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[49.50, 64.50)",1689,0.06751139179790551,933,756,0.44760213143872113,0.15342943182276653,0.0015826989950462483,0.00019764355213674166,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,"[64.50, inf)",2835,0.11331841074426413,1647,1188,0.41904761904761906,0.26974983741000563,0.008164821366122087,0.0010175195463903016,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Insufficient credit history,Months since most recent installment trade opened
in21s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.01577293286178441,0.001968083994862543,Insufficient credit history,Months since most recent installment trade opened
in34s__tu,"(-inf, 46.50)",1284,0.051323047405867774,755,529,0.411993769470405,0.2987949245456811,0.004529136880397075,0.0005640454553160574,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
in34s__tu,"[46.50, 80.50)",2922,0.11679590694699817,1623,1299,0.44455852156057496,0.16574715799894735,0.003193790192975186,0.0003987674207609551,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
in34s__tu,"[80.50, inf)",20812,0.831881045647134,10487,10325,0.4961080146069575,-0.041366136839872836,0.001424114513525641,0.00017800162317275527,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
in34s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
in34s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
in34s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.009147041586897902,0.0011408144992497678,Excessive Account Balances,Utilization for open installment trades verified in past 12 months
rp01s__tu,"(-inf, 0.50)",21636,0.8648173315213047,11263,10373,0.4794324274357552,0.02538234777082437,0.0005569392497790916,6.961553745095037e-05,"Garnishment, or attachment, or foreclosure, or repossession, or suit",Number of repossession trades
