,feature,median__pd,median__parse,median_diff
1889,bc34s__tu,-1.0,-1.0,0.0
1597,lm37s__tu,-1.0,-1.0,0.0
1492,br29s__tu,-1.0,-1.0,0.0
253,bkc11__tu,-1.0,-1.0,0.0
141,rev253__tu,-1.0,-1.0,0.0
1678,hi21s__tu,-1.0,-1.0,0.0
1666,hi20s__tu,-1.0,-1.0,0.0
54,rev224__tu,-1.0,-1.0,0.0
50,rev204__tu,-1.0,-1.0,0.0
148,ret102__tu,-1.0,-1.0,0.0
356,st27s__tu,-1.0,-1.0,0.0
856,addrinputavmratio60monthprior__ln,-1.0,-1.0,0.0
1514,fr31s__tu,-1.0,-1.0,0.0
1546,lm05s__tu,-1.0,-1.0,0.0
401,re12s__tu,-1.0,-1.0,0.0
840,addrcurrentavmratio60monthprior__ln,-1.0,-1.0,0.0
1673,hr36s__tu,-1.0,-1.0,0.0
1513,fr30s__tu,-1.0,-1.0,0.0
47,rev201__tu,-2.0,-2.0,0.0
1517,fr34s__tu,-1.0,-1.0,0.0
175,ret12__tu,-1.0,-1.0,0.0
1690,hi36s__tu,-1.0,-1.0,0.0
1613,lm33s__tu,-1.0,-1.0,0.0
24,std254__tu,-1.0,-1.0,0.0
166,bkc92__tu,-1.0,-1.0,0.0
520,us09s__tu,-1.0,-1.0,0.0
552,st102s__tu,-1.0,-1.0,0.0
53,rev223__tu,-1.0,-1.0,0.0
351,st12s__tu,-1.0,-1.0,0.0
653,purchaseactivitycount__ln,-1.0,-1.0,0.0
1580,lm39s__tu,-1.0,-1.0,0.0
342,st29s__tu,-1.0,-1.0,0.0
1622,g309s__tu,-1.0,-1.0,0.0
167,bkc102__tu,-1.0,-1.0,0.0
347,st03s__tu,-1.0,-1.0,0.0
257,bkc51__tu,-1.0,-1.0,0.0
48,rev203__tu,-1.0,-1.0,0.0
355,st25s__tu,-1.0,-1.0,0.0
258,bkc52__tu,-1.0,-1.0,0.0
176,ret13__tu,-1.0,-1.0,0.0
173,bkc162__tu,-1.0,-1.0,0.0
354,st24s__tu,-1.0,-1.0,0.0
259,bkc53__tu,-1.0,-1.0,0.0
168,bkc112__tu,-1.0,-1.0,0.0
647,criminalnonfelonytimenewest__ln,-1.0,-1.0,0.0
242,bkc54__tu,-1.0,-1.0,0.0
1989,at24s__tu,1.0,1.0,0.0
23,std253__tu,-1.0,-1.0,0.0
22,std252__tu,-1.0,-1.0,0.0
485,rets905__tu,-1.0,-1.0,0.0
459,g407s__tu,1.0,1.0,0.0
1579,mt20s__tu,-1.0,-1.0,0.0
271,rle907__tu,-1.0,-1.0,0.0
1752,cv07__tu,-1.0,-1.0,0.0
1943,aggs905__tu,-1.0,-1.0,0.0
1544,lm03s__tu,-1.0,-1.0,0.0
570,jt42s__tu,-1.0,-1.0,0.0
170,bkc132__tu,-1.0,-1.0,0.0
171,bkc142__tu,-1.0,-1.0,0.0
172,bkc152__tu,-1.0,-1.0,0.0
1485,br12s__tu,-1.0,-1.0,0.0
1587,mt21s__tu,-1.0,-1.0,0.0
1500,fr35s__tu,-1.0,-1.0,0.0
1672,hr35s__tu,-1.0,-1.0,0.0
1944,index01__tu,-1.0,-1.0,0.0
211,aut225__tu,-1.0,-1.0,0.0
1621,g308s__tu,-1.0,-1.0,0.0
1601,lm21s__tu,-1.0,-1.0,0.0
386,mt57s__tu,-1.0,-1.0,0.0
140,rev252__tu,-1.0,-1.0,0.0
177,ret14__tu,-1.0,-1.0,0.0
169,bkc122__tu,-1.0,-1.0,0.0
419,re03s__tu,-1.0,-1.0,0.0
400,re29s__tu,-1.0,-1.0,0.0
346,st02s__tu,-1.0,-1.0,0.0
1689,hi35s__tu,-1.0,-1.0,0.0
149,ret112__tu,-1.0,-1.0,0.0
1859,bc12s__tu,-1.0,-1.0,0.0
174,ret11__tu,-1.0,-1.0,0.0
1571,in29s__tu,1.0,1.0,0.0
1564,in12s__tu,1.0,1.0,0.0
1769,cv02__tu,-1.0,-1.0,0.0
25,std255__tu,-1.0,-1.0,0.0
1474,fc04s__tu,-1.0,-1.0,0.0
515,jt70s__tu,-1.0,-1.0,0.0
1866,bc29s__tu,-1.0,-1.0,0.0
1607,lm27s__tu,-1.0,-1.0,0.0
1856,bc03s__tu,-1.0,-1.0,0.0
1420,g201b__tu,-2.0,-2.0,0.0
1763,paymnt07__tu,-2.0,-2.0,0.0
91,walsrvs2__tu,-1.0,-1.0,0.0
966,linkt004__tu,1.0,1.0,0.0
1901,bi31s__tu,-1.0,-1.0,0.0
1529,fi29s__tu,-1.0,-1.0,0.0
1416,g042c__tu,-1.0,-1.0,0.0
1549,lm17s__tu,-1.0,-1.0,0.0
1884,au31s__tu,-1.0,-1.0,0.0
1908,bi09s__tu,-1.0,-1.0,0.0
1418,g043c__tu,-1.0,-1.0,0.0
557,se36s__tu,-1.0,-1.0,0.0
265,rle901__tu,-1.0,-1.0,0.0
1619,g306s__tu,1.0,1.0,0.0
523,us21s__tu,-1.0,-1.0,0.0
1828,trv23__tu,-1.0,-1.0,0.0
1887,au34s__tu,-1.0,-1.0,0.0
885,addrchangecount60month__ln,1.0,1.0,0.0
489,rtdexq2__tu,-1.0,-1.0,0.0
844,addrcurrenttimenewest__ln,1.0,1.0,0.0
1437,g224b__tu,3.0,3.0,0.0
447,us51a__tu,-1.0,-1.0,0.0
1406,g001c__tu,-1.0,-1.0,0.0
1522,fi12s__tu,-1.0,-1.0,0.0
1563,in09s__tu,1.0,1.0,0.0
121,ret252__tu,-1.0,-1.0,0.0
745,inputprovidedphone__ln,1.0,1.0,0.0
1883,au30s__tu,-1.0,-1.0,0.0
1414,g041c__tu,-1.0,-1.0,0.0
1895,bi24s__tu,-1.0,-1.0,0.0
33,per254__tu,-1.0,-1.0,0.0
699,lienjudgmenttimenewest__ln,-1.0,-1.0,0.0
1590,mt25s__tu,-1.0,-1.0,0.0
1993,aggs908__tu,-1.0,-1.0,0.0
1591,mt27s__tu,-1.0,-1.0,0.0
353,st21s__tu,-1.0,-1.0,0.0
617,pti__app,0.09,0.09,0.0
1583,mt03s__tu,-1.0,-1.0,0.0
365,of30s__tu,-1.0,-1.0,0.0
352,st20s__tu,-1.0,-1.0,0.0
1589,mt24s__tu,-1.0,-1.0,0.0
1509,fr27s__tu,-1.0,-1.0,0.0
692,addrinputownershipindex__ln,1.0,1.0,0.0
1586,mt12s__tu,-1.0,-1.0,0.0
1593,mt29s__tu,-1.0,-1.0,0.0
452,g200b__tu,100.0,100.0,0.0
827,addrcurrentownershipindex__ln,1.0,1.0,0.0
1637,g303s__tu,9.0,9.0,0.0
144,ret142__tu,-1.0,-1.0,0.0
240,per205__tu,-1.0,-1.0,0.0
1505,fr12s__tu,-1.0,-1.0,0.0
1826,trv21__tu,-2.0,-2.0,0.0
875,addrprevioussubjectowned__ln,1.0,1.0,0.0
1906,bi36s__tu,-1.0,-1.0,0.0
1737,cv09__tu,-1.0,-1.0,0.0
621,bitdebtor__app,1.0,1.0,0.0
1880,au27s__tu,-3.0,-3.0,0.0
1316,linka080__tu,99999.0,99999.0,0.0
238,aut201__tu,-2.0,-2.0,0.0
1330,linka009__tu,99999.0,99999.0,0.0
1331,linka039__tu,99999.0,99999.0,0.0
1634,hi03s__tu,-1.0,-1.0,0.0
145,ret83__tu,-1.0,-1.0,0.0
1679,hi24s__tu,-1.0,-1.0,0.0
1681,hi27s__tu,-1.0,-1.0,0.0
1680,hi25s__tu,-1.0,-1.0,0.0
1683,hi29s__tu,-1.0,-1.0,0.0
1655,hi12s__tu,-1.0,-1.0,0.0
14,rev325__tu,-1.0,-1.0,0.0
460,au200s__tu,1.0,1.0,0.0
1899,bi30s__tu,-1.0,-1.0,0.0
1370,linka081__tu,99999.0,99999.0,0.0
1372,linka085__tu,99999.0,99999.0,0.0
1821,trv17__tu,-2.0,-2.0,0.0
754,sourcecredheadertimenewest__ln,1.0,1.0,0.0
1471,fi03s__tu,-1.0,-1.0,0.0
1502,fr03s__tu,-1.0,-1.0,0.0
1896,bi25s__tu,-1.0,-1.0,0.0
221,per201__tu,-1.0,-1.0,0.0
266,rle902__tu,-1.0,-1.0,0.0
1650,g251b__tu,3.0,3.0,0.0
605,bitgap__app,1.0,1.0,0.0
361,of34s__tu,-1.0,-1.0,0.0
1371,linka084__tu,99999.0,99999.0,0.0
381,of20s__tu,-1.0,-1.0,0.0
583,se20s__tu,-1.0,-1.0,0.0
1512,fr29s__tu,-1.0,-1.0,0.0
286,rt34s__tu,-1.0,-1.0,0.0
670,assetpropsaletimenewest__ln,-1.0,-1.0,0.0
1897,bi27s__tu,-1.0,-1.0,0.0
162,ret81__tu,-1.0,-1.0,0.0
584,se21s__tu,-1.0,-1.0,0.0
431,pb35s__tu,-1.0,-1.0,0.0
1661,hr21s__tu,-1.0,-1.0,0.0
299,rt30s__tu,-1.0,-1.0,0.0
341,st30s__tu,-1.0,-1.0,0.0
1645,g241s__tu,-1.0,-1.0,0.0
1461,fr36s__tu,-1.0,-1.0,0.0
1835,agg902__tu,1.0,1.0,0.0
1910,bi03s__tu,-1.0,-1.0,0.0
650,evictiontimenewest__ln,-1.0,-1.0,0.0
1772,rvlr01__tu,-1.0,-1.0,0.0
469,g401s__tu,-1.0,-1.0,0.0
224,per204__tu,-1.0,-1.0,0.0
1744,walshr09__tu,-2.0,-2.0,0.0
228,aut203__tu,-1.0,-1.0,0.0
468,g400s__tu,-1.0,-1.0,0.0
88,rvdexq3__tu,-1.0,-1.0,0.0
534,us02s__tu,-1.0,-1.0,0.0
209,aut223__tu,-1.0,-1.0,0.0
1592,mt28s__tu,-1.0,-1.0,0.0
591,se31s__tu,-1.0,-1.0,0.0
1892,bi12s__tu,-1.0,-1.0,0.0
1891,bi29s__tu,-1.0,-1.0,0.0
1503,fr06s__tu,-1.0,-1.0,0.0
727,intservicecontractmileage__app,120000.0,120000.0,0.0
71,ret315__tu,-1.0,-1.0,0.0
519,us06s__tu,-1.0,-1.0,0.0
636,criminalfelonytimenewest__ln,-1.0,-1.0,0.0
530,us31s__tu,-1.0,-1.0,0.0
408,re30s__tu,-1.0,-1.0,0.0
86,rvdexq2__tu,-1.0,-1.0,0.0
89,rvdexq4__tu,-1.0,-1.0,0.0
413,re34s__tu,-1.0,-1.0,0.0
656,assetproppurchasetimeoldest__ln,-1.0,-1.0,0.0
131,aut253__tu,-1.0,-1.0,0.0
1765,paymnt09__tu,-2.0,-2.0,0.0
147,ret92__tu,-1.0,-1.0,0.0
69,bkc327__tu,-1.0,-1.0,0.0
410,re31s__tu,-1.0,-1.0,0.0
1823,trv18__tu,-1.0,-1.0,0.0
573,se35s__tu,-1.0,-1.0,0.0
664,assetproppurchasetimenewest__ln,-1.0,-1.0,0.0
470,g402s__tu,-1.0,-1.0,0.0
337,mtap01__tu,-1.0,-1.0,0.0
325,st35s__tu,-1.0,-1.0,0.0
252,per224__tu,-1.0,-1.0,0.0
578,se02s__tu,-1.0,-1.0,0.0
1827,trv22__tu,-1.0,-1.0,0.0
1488,br24s__tu,-1.0,-1.0,0.0
1918,bc102s__tu,-1.0,-1.0,0.0
1487,br21s__tu,8.0,8.0,0.0
1824,trv19__tu,-1.0,-1.0,0.0
283,rt31s__tu,-1.0,-1.0,0.0
132,aut254__tu,-1.0,-1.0,0.0
