,feature,mean__pd,mean__parse,mean_diff
271,rle907__tu,151.63127413127413,69.8052118403218,73.90476951612058
1753,cv07__tu,1476.735481016731,680.1403742730969,73.86564273413802
444,g415s__tu,1.056748712998713,2.294346552402606,73.86228927488764
1944,aggs905__tu,0.9049629987129988,1.9641030125486425,73.83169363676635
1209,linka006__tu,3.9747425997426,8.614774168160553,73.7126238275907
942,linkd009__tu,0.0471364221364221,0.10215994053605,73.71046074356019
1922,bc106s__tu,0.5638674388674388,1.221699969393555,73.68330397190603
900,linkf191__tu,38.00185006435007,82.23809627913077,73.57995002495124
1749,cv20__tu,682.4149681377346,316.0441456431557,73.38724589477347
1569,in25s__tu,-0.9024292149292148,-0.4179965895675747,73.37521331556468
1545,lm03s__tu,1483.8388030888032,687.8667089327096,73.30387013800689
570,jt42s__tu,10.872506435006436,5.042542958331511,73.26352978980199
564,jt28s__tu,10470.241862994644,4868.497243066871,73.04048372156082
119,ret234__tu,98.76924800161096,45.99122952119248,72.91771812800853
905,linkf195__tu,518.2441682754182,1111.0094224126624,72.76525367507735
170,bkc132__tu,1.1314350064350065,2.420969787066591,72.60066662394591
871,phoneinputsubjectcount__ln,-0.1378297940797941,-0.294280967163657,72.41253267271368
296,s064a__tu,3555.8489399795653,1665.6620344995913,72.39999742291144
994,linkf087__tu,0.5427123552123552,1.157317126492064,72.3051897504174
481,rets901__tu,100.57800640611552,47.31792872870455,72.02372077212232
485,rets905__tu,-0.106016731016731,-0.2250010930873158,71.89000313964071
945,linkd013__tu,6.38795045045045,13.55465436579074,71.8732982113124
171,bkc142__tu,0.9814591377091376,2.082112719164007,71.85426899555469
1391,g093s__tu,1.1143822393822391,0.5258843076384941,71.75637798779131
952,linkt006__tu,1.1143822393822391,0.5258843076384941,71.75637798779131
300,rt28s__tu,579.475682303739,274.3159153096069,71.48343175247055
363,of28s__tu,2625.240728010802,1243.95022282404,71.39944876014587
1777,agg806__tu,26.48803278164986,55.89878871991236,71.39674866011141
1805,agg719__tu,104.57527802933252,220.32549265056852,71.2526562365563
1486,br12s__tu,-1.1684765122265122,-0.5546980892833719,71.23810000511078
1588,mt21s__tu,19.66465572715573,9.33575269992567,71.232810759897
901,linkf181__tu,0.6229086229086229,1.309802807048227,71.0808839325734
701,lienjudgmentdollartotal__ln,2762.354125662418,1316.067394682314,70.92384756040889
484,rets904__tu,208.4137863487301,99.34821641969329,70.87656627390977
499,rets104__tu,33.024129219792435,15.746103919864767,70.85479887065848
1008,linkf122__tu,0.4729327541827541,0.9892658825586989,70.62421143089098
1501,fr35s__tu,29.792068854568853,62.29233527174151,70.58799310378917
