feature,suffix,feature_name,Description
g042s,__tu,g042s__tu,Number of trades 60 or more days past due ever
g042c,__tu,g042c__tu,Number of real estate trades 60 or more days past due ever
g043s,__tu,g043s__tu,Number of trades 90 or more days past due ever
g043c,__tu,g043c__tu,Number of real estate trades 90 or more days past due ever
g051s,__tu,g051s__tu,Percentage of trades ever delinquent
g057s,__tu,g057s__tu,Number of trades 30 or more days past due in past 3 months
g058s,__tu,g058s__tu,Number of trades 30 or more days past due in past 6 months
g059s,__tu,g059s__tu,Number of trades 30 or more days past due in past 12 months
g061s,__tu,g061s__tu,Number of trades 30 or more days past due in past 24 months
g063s,__tu,g063s__tu,Number of trades 60 or more days past due in past 6 months
g064s,__tu,g064s__tu,Number of trades 60 or more days past due in past 12 months
g066s,__tu,g066s__tu,Number of trades 60 or more days past due in past 24 months
g068s,__tu,g068s__tu,Number of trades 90 or more days past due in past 6 months
g069s,__tu,g069s__tu,Number of trades 90 or more days past due in past 12 months
g071s,__tu,g071s__tu,Number of trades 90 or more days past due in past 24 months
g093s,__tu,g093s__tu,Number of public records
g094s,__tu,g094s__tu,Number of public record bankruptcies
g095s,__tu,g095s__tu,Months since most recent public record
g099s,__tu,g099s__tu,Number of public record bankruptcies in past 24 months
g100s,__tu,g100s__tu,Number of tradeline bankruptcies
g102s,__tu,g102s__tu,Months since most recent inquiry
g105s,__tu,g105s__tu,Months since most recent mortgage inquiry
g199s,__tu,g199s__tu,Total monthly obligation for contractually liable accounts verified in past 12 months
g200s,__tu,g200s__tu,Percentage of contractually liable debt
g201a,__tu,g201a__tu,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
g201b,__tu,g201b__tu,Total open to buy of closed trades verified in past 3 months (excluding installments and mortgages)
g202a,__tu,g202a__tu,Total open to buy of open trades verified in past 12 months (excluding installments and mortgages)
g202b,__tu,g202b__tu,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
g205s,__tu,g205s__tu,Total monthly obligation for individual account verified in past 12 months
g206s,__tu,g206s__tu,Total monthly obligation for joint account verified in past 12 months
g207s,__tu,g207s__tu,Total monthly obligation for all accounts
g208s,__tu,g208s__tu,Percentage of individual debt
g209s,__tu,g209s__tu,Months since most recent charged-off trade opened
g210s,__tu,g210s__tu,Total past due amount of charged-off trades verified in past 12 months
g211s,__tu,g211s__tu,Highest balance of charged-off trades
g212s,__tu,g212s__tu,Number of charged-off trades opened in past 24 months
g213a,__tu,g213a__tu,Highest balance of third party collections verified in 24 months
g213b,__tu,g213b__tu,Highest balance of non-medical third party collections verified in 24 months
g215a,__tu,g215a__tu,Number of third party collections with balance > $0
g215b,__tu,g215b__tu,Number of non-medical third party collections with balance > $0
g216s,__tu,g216s__tu,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
g217s,__tu,g217s__tu,Total past due amount of all trades verified in past 12 months
g218a,__tu,g218a__tu,Number of trades verified in the past 12 months that are currently 30 days past due
g218b,__tu,g218b__tu,Number of trades verified in the past 12 months that are currently 30 days or more past due
g218c,__tu,g218c__tu,Number of credit card trades verified in the past 12 months that are currently 30 days past due
g218d,__tu,g218d__tu,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
g219a,__tu,g219a__tu,Number of trades verified in the past 12 months that are currently 60 days past due
g219b,__tu,g219b__tu,Number of trades verified in the past 12 months that are currently 60 days or more past due
g219c,__tu,g219c__tu,Number of credit card trades verified in the past 12 months that are currently 60 days past due
g219d,__tu,g219d__tu,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due
g220a,__tu,g220a__tu,Number of trades verified in the past 12 months that are currently 90 days past due
g220b,__tu,g220b__tu,Number of trades verified in the past 12 months that are currently 90 days or more past due
g220c,__tu,g220c__tu,Number of credit card trades verified in the past 12 months that are currently 90 days past due
g220d,__tu,g220d__tu,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
g221a,__tu,g221a__tu,Number of trades verified in the past 12 months that are currently 120 days past due
g221b,__tu,g221b__tu,Number of trades verified in the past 12 months that are currently 120 days or more past due
g221c,__tu,g221c__tu,Number of credit card trades verified in the past 12 months that are currently 120 days past due
g221d,__tu,g221d__tu,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due
g222s,__tu,g222s__tu,"Number of trades prior 30 days past due, now current, verified in past 12 months"
g223s,__tu,g223s__tu,"Number of trades prior 60 days past due, now current, verified in past 12 months"
g224a,__tu,g224a__tu,Number of 90 days past due or worse items ever (excluding medical collection items)
g224b,__tu,g224b__tu,Number of 90 days past due or worse items in the past 12 months (excluding medical collection items)
g224c,__tu,g224c__tu,Number of 90 days past due or worse items in the past 24 months (excluding medical collection items)
g225s,__tu,g225s__tu,Total past due amount of currently 90 or more days past due trades
g226s,__tu,g226s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
