bigaccountid__app,applicationdate__app,intopenbktype__app,ENG-loan_to_value,fltgrossmonthly__income_sum,strdealershiptrackertype__app,FICO,yhat_ad_old,yhat_ad_new,yhat_pd_old,yhat_pd_new_logloss,yhat_pd_new_auc,yhat_lgd_old,yhat_lgd_new,ecnl_old,ecnl_new_logloss,ecnl_new_auc,genxi_raw_pd,genxi_raw_lgd,genxi_raw_ecnl,genxi_raw_ecnl_mod,genxi_factor_pd,genxi_factor_lgd,genxi_factor_ecnl,tier
7629719,2024-03-04 08:33:39,nan,1.08,6500.0,franchise,638.0,0.3544237662371963,0.5373303105343761,0.37266408102436577,0.21972016371887243,0.2952282330021177,0.3533647054716214,0.6609306407875908,0.13168633323102746,0.3427187010975781,0.46049590911135957,0.23983899360096883,0.43311468785831286,0.10387779084973552,0.1703261363403833,0.171187,0.415737,0.25889552,D
7629720,2024-03-04 08:33:39,nan,0.9166666666666666,5500.0,independent,471.0,0.4645196980769569,0.6854729524891008,0.44408861441150793,0.3371600275887318,0.2936494839845019,0.43630606842797237,0.6351092037996103,0.19375855738751083,0.5053549105528445,0.4401387963281697,0.3530525597976039,0.4546175509546725,0.16050389009346475,0.2810601721944731,0.353053,0.454618,0.42721119999999996,Decline
7629723,2024-03-04 08:34:23,nan,1.0789473684210527,4000.0,franchise,614.0,0.2917825727892222,0.5220251976836904,0.26177005775517836,0.23454469476351558,0.20899178550201555,0.4009787181607144,0.654420585994431,0.1049642222115276,0.3622384687500986,0.3227737230975534,0.2094652354666128,0.40064770010854384,0.08392176484239301,0.1313015288022448,0.209465,0.400648,0.19957904,B
7629724,2024-03-04 08:34:45,nan,0.6842105263157895,3500.0,independent,546.0,0.32094113547708303,0.4700118712528803,0.27285660835662096,0.14129518158337148,0.18412663589315031,0.49364407796377596,0.6707107378934758,0.1346940488485273,0.22365294138135872,0.2914498799087421,0.14578743931272473,0.48180518041513887,0.07024114350032845,0.1045486633491973,0.145787,0.481805,0.15891448,B
7629731,2024-03-04 08:36:47,nan,0.825,3500.0,independent,539.0,0.3982491839553714,0.5842698630795008,0.377829769677097,0.2803237887479038,0.28345342208989055,0.3692063839835568,0.6401967551438005,0.13949716302382112,0.4235312166726172,0.42825966809299537,0.20116094050553435,0.4650624848364472,0.09355240684354052,0.15013453815474878,0.201161,0.465062,0.2282052,C
7629736,2024-03-04 08:37:45,nan,0.9777777777777777,4500.0,franchise,444.0,0.5040283172633088,0.6748095236491625,0.4468309068385627,0.25841199217258026,0.2563954109743076,0.490630960971328,0.6990812752391471,0.21922907721389395,0.42633632465922633,0.42300930485174665,0.3732235705428496,0.5114772426517351,0.19089536275389207,0.34049160872611856,0.368643,0.522572,0.51754784,Decline
7629737,2024-03-04 08:38:11,nan,1.1025641025641026,3000.0,franchise,574.0,0.32541881163354913,0.587475282446958,0.28515411197912155,0.1803800687767727,0.2726440247769396,0.48562701934634867,0.635533741544293,0.13847854145477573,0.27054478322293746,0.4089277661357927,0.26041128506321515,0.44200522518523955,0.11510314869514401,0.19227766036781496,0.305294,0.485176,0.29226256,Decline
7629739,2024-03-04 08:38:36,nan,1.2777777777777777,4000.0,independent,425.0,0.3725789620860275,0.48983535008076207,0.2974280135819625,0.24532219774216135,0.3026801226475717,0.3914710057202033,0.609300024443496,0.11643444360629317,0.3527605777507613,0.43523829446143286,0.1647346163829068,0.41473970784823905,0.0683219866711385,0.10079569459501145,0.19897,0.428505,0.20355384,B
7629740,2024-03-04 08:38:41,nan,1.0681818181818181,3500.0,franchise,530.0,0.4679472076722776,0.6138563692915733,0.3412596887720759,0.27418863961982787,0.2411166107712151,0.4277127495847046,0.6244841264466421,0.14596111980712514,0.404094429303212,0.35535345067619994,0.34164215266825515,0.488615937533381,0.16693180072692199,0.29363014427551776,0.341642,0.488616,0.4463176,Decline
7629741,2024-03-04 08:39:01,nan,1.1666666666666667,4000.0,independent,561.0,0.4413306332406362,0.6211608687451792,0.4538437961955044,0.18221293325424406,0.31468296844454824,0.5099641913556121,0.682866876191459,0.23144408452860163,0.29364813661789996,0.5071323185396266,0.22452281266988963,0.5459484090828375,0.12257787237993019,0.20689470677512486,0.224523,0.545948,0.3144804,Decline
7629743,2024-03-04 08:39:10,nan,1.411764705882353,3500.0,independent,476.0,0.38322436631101425,0.5580345487438677,0.3804427055895122,0.28715433408075297,0.3313849999035775,0.44047425706436844,0.6568307402533133,0.16757521810009865,0.44512383341805134,0.5136866973174059,0.27025678828804656,0.506197649260371,0.13680335092806695,0.23471305684036275,0.270257,0.506198,0.35676376,Decline
7629745,2024-03-04 08:39:29,nan,1.0357142857142858,4500.0,franchise,626.0,0.33655124411838466,0.5116718798336642,0.3545015234062534,0.24085010142505553,0.19067760690636948,0.4267332145141466,0.676173688830755,0.15127757463331248,0.3843413436245854,0.3042775867807492,0.14482289759350084,0.42905607134834434,0.06213714348275106,0.08870104819482419,0.144823,0.429056,0.13482552,B
