max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
119.00,10117,21282,0.4753782539235034,10345,21282,0.48609153275068134
120.00,10117,21285,0.4753112520554381,10346,21285,0.4860700023490721
121.00,10117,21287,0.47526659463522336,10347,21287,0.486071311128858
122.00,10117,21288,0.4752442690717775,10347,21288,0.48604847801578355
123.00,10117,21289,0.47522194560571185,10347,21289,0.4860256470477711
124.00,10117,21290,0.47519962423673084,10348,21290,0.4860497886331611
125.00,10117,21290,0.47519962423673084,10348,21290,0.4860497886331611
126.00,10117,21290,0.47519962423673084,10348,21290,0.4860497886331611
127.00,10117,21291,0.475177304964539,10348,21291,0.48602695974825044
128.00,10117,21291,0.475177304964539,10348,21291,0.48602695974825044
129.00,10117,21291,0.475177304964539,10348,21291,0.48602695974825044
130.00,10117,21292,0.47515498778884085,10348,21292,0.4860041330077024
131.00,10117,21293,0.4751326727093411,10348,21293,0.48598130841121495
132.00,10117,21293,0.4751326727093411,10348,21293,0.48598130841121495
133.00,10117,21293,0.4751326727093411,10348,21293,0.48598130841121495
134.00,10117,21293,0.4751326727093411,10348,21293,0.48598130841121495
135.00,10117,21294,0.47511035972574434,10348,21294,0.48595848595848595
136.00,10117,21294,0.47511035972574434,10348,21294,0.48595848595848595
137.00,10117,21294,0.47511035972574434,10348,21294,0.48595848595848595
138.00,10118,21295,0.4751350082178915,10349,21295,0.48598262502934964
139.00,10119,21297,0.475137343287787,10349,21297,0.4859369864300136
140.00,10119,21298,0.4751150342755188,10349,21298,0.4859141703446333
141.00,10119,21299,0.47509272735809194,10349,21299,0.485891356401709
142.00,10120,21301,0.47509506595934464,10350,21301,0.4858926810947843
143.00,10120,21301,0.47509506595934464,10350,21301,0.4858926810947843
144.00,10120,21301,0.47509506595934464,10350,21301,0.4858926810947843
145.00,10120,21301,0.47509506595934464,10350,21301,0.4858926810947843
146.00,10121,21302,0.4751197070697587,10351,21302,0.4859168153225049
147.00,10121,21304,0.4750751032669921,10352,21304,0.4859181374389786
