feature,AD,PD,LGD,Sum,Eng,App,description
rvlr13__tu,1,1,1,3,0,0,Number of retail revolver trades over last 6 months
us36s__tu,1,1,1,3,0,0,Months since most recent unsecured installment delinquency
addrcurrentdwelltype__ln,1,1,1,3,0,0,Current dwelling type
ret83__tu,1,1,1,3,0,0,Months since a Retail trade last exceeded 75% utilization
g309s__tu,1,1,1,3,0,0,Worst rating on mortgage trades
fltdowncash__app,1,1,1,3,0,1,Cash Down
all235__tu,1,1,1,3,0,0,Aggregate Excess Payment for All accounts over the past 24 months
linka028__tu,1,1,1,3,0,0,"Number of utility inquiries in last 3 years (cable/dish/satellite, gas, electric, mobile, and landline)"
linkf096__tu,1,1,1,3,0,0,Number of trades within last 18 months
linkf155__tu,1,1,1,3,0,0,Number of distinct email addresses within last 12 months
aut233__tu,1,1,1,3,0,0,Aggregate Excess Payment for Auto accounts over the past 6 months
rvdex02__tu,1,1,1,3,0,0,Most recent quarter year-over-year revolving spend index
assetproppurchasetimenewest__ln,1,1,1,3,0,0,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file
criminalnonfelonycount12month__ln,1,1,1,3,0,0,"Total non-felony criminal convictions in the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
rvlr65__tu,1,1,1,3,0,0,Flag indicating that the consumer revolved at least five times on at least one of his top 5 bankcards in the past 6 months
g099s__tu,1,1,1,3,0,0,Number of public record bankruptcies in past 24 months
rvlr10__tu,1,1,1,3,0,0,Number of bankcard revolver trades on newly opened cards
linka081__tu,1,1,1,3,0,0,Number of days since last (most recent) paid non-sufficient funds
rvlr11__tu,1,1,1,3,0,0,Number of retail revolver trades over last month
at30s__tu,1,1,1,3,0,0,Percentage of open trades > 50% of credit line verified in past 12 months
bc106s__tu,1,1,1,3,0,0,Number of credit card trades 30 or more days past due in past 24 months
linkf174__tu,1,1,1,3,0,0,Number of distinct zip codes within last 18 months
index01__tu,1,1,1,3,0,0,Annual year-over-year spend index
rt01s__tu,1,1,1,3,0,0,Number of retail trades
g100s__tu,1,1,1,3,0,0,Number of tradeline bankruptcies
addrcurrenttimelastsale__ln,1,1,1,3,0,0,Time (in months) since the last recorded property sale for the current address on the subject's file
trv02__tu,1,1,1,3,0,0,Number of months overlimit on a bankcard over last 12 months
linka076__tu,1,1,1,3,0,0,Total amount of paid non-sufficient funds in the last 6 months
br31s__tu,1,1,1,3,0,0,Percentage of open bank revolving trades > 75% of credit line verified in past 12 months
addrinputtimeoldest__ln,1,1,1,3,0,0,Time on file (in months) since subject was first reported at the input address
paymnt10__tu,1,1,1,3,0,0,Number of payments in last 3 months
all232__tu,1,1,1,3,0,0,Aggregate Excess Payment for All accounts over the past 3 months
linkf094__tu,1,1,1,3,0,0,Number of trades within last 9 months
linkf053__tu,1,1,1,3,0,0,Number of inquiries all time STOREFRONT LENDER
aut201__tu,1,1,1,3,0,0,Total Payment Ratio for Auto accounts over the past 1 month
linkt002__tu,1,1,1,3,0,0,Number of months at current address
linka009__tu,1,1,1,3,0,0,Number of days since most recent check order
g042c__tu,1,1,1,3,0,0,Number of real estate trades 60 or more days past due ever
jt75s__tu,1,1,1,3,0,0,Number of joint trades 30 days past due or worse in the last 12 months
addrprevioustimeoldest__ln,1,1,1,3,0,0,Time (in months) since the subject was first reported at the most previous address on subject's file
addrcurrenttimeoldest__ln,1,1,1,3,0,0,Time (in months) since the subject was first reported at the current address on subject's file
fi09s__tu,1,1,1,3,0,0,Number of finance installment trades opened in past 24 months
in20s__tu,1,1,1,3,0,0,Months since oldest installment trade opened
alertregulatorycondition__ln,1,1,1,3,0,0,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
addrcurrenttimenewest__ln,1,1,1,3,0,0,Time (in months) since the subject was most recently reported at the current address on subject's file
addrinputavmvalue12month__ln,1,1,1,3,0,0,Indicates input address AVM value on file 12 months ago
ENG-vehicle_age,1,1,1,3,1,0,Age of vehicle (years)
jt41s__tu,1,1,1,3,0,0,Number of joint installment or joint mortgage trades
