feature,bin,min,max,count,prop,target,bin_label
linkt001__tu_binned,-0.0499337626255121,3.0,3.0,4135,0.1652809976816692,0.2834340991535671,4
linkt001__tu_binned,-0.0844550427217373,4.0,4.0,3136,0.1253497481813094,0.2904974489795918,5
linkt001__tu_binned,-0.1186333465500042,5.0,5.0,2201,0.0879766568070988,0.2975920036347115,6
linkt001__tu_binned,-0.1465219906588756,6.0,7.0,2287,0.0914141817891118,0.3034543069523393,7
linkt001__tu_binned,-0.1766968871060351,8.0,19.0,1307,0.0522423854824526,0.3098699311400153,8
linkt002__tu_binned,-0.1092626613188598,0.0,14.0,9718,0.3884403229674634,0.2956369623379296,1
linkt002__tu_binned,-0.0945987644825111,15.0,20.0,2700,0.1079222959469182,0.2925925925925925,2
linkt002__tu_binned,-0.0656948932538022,21.0,28.0,2913,0.1164361659605084,0.2866460693443186,3
linkt002__tu_binned,0.0123538962683397,29.0,39.0,2720,0.1087217203613398,0.2709558823529411,4
linkt002__tu_binned,0.0833069835369118,40.0,52.0,2127,0.0850187864737389,0.2571697226140103,5
linkt002__tu_binned,0.1994171202124527,53.0,72.0,1982,0.0792229594691821,0.2356205852674066,6
linkt002__tu_binned,0.286198463669257,73.0,101.0,1425,0.0569589895275401,0.2203508771929824,7
linkt002__tu_binned,0.4512792029828646,102.0,999.0,1433,0.0572787592933088,0.1933007676203768,8
linkt003__tu_binned,0.0697052092188566,0.0,0.0,18539,0.7410264609481173,0.2597766869841955,1
linkt003__tu_binned,-0.1769148916433367,1.0,1.0,5153,0.2059717003757294,0.3099165534640015,2
linkt003__tu_binned,-0.2329253188191238,2.0,5.0,1326,0.0530018386761531,0.3220211161387632,3
linkt004__tu_binned,0.2013016815290324,0.0,0.0,9206,0.36797505795827,0.235281338257658,1
linkt004__tu_binned,-0.0146977711801679,1.0,1.0,7035,0.2811975377728036,0.2763326226012793,2
linkt004__tu_binned,-0.1427801654434753,2.0,2.0,4467,0.178551442961068,0.3026639802999776,3
linkt004__tu_binned,-0.2041274713524725,3.0,3.0,2277,0.091014469581901,0.3157663592446201,4
linkt004__tu_binned,-0.2426664017823321,4.0,13.0,2033,0.0812614917259573,0.3241515002459419,5
linkt006__tu_binned,-0.113790257898749,0.0,0.0,16933,0.6768326804700615,0.2965806413512077,1
linkt006__tu_binned,0.2601364354251315,1.0,9.0,8085,0.3231673195299384,0.224860853432282,2
linkt007__tu_binned,-0.1076060607881074,0.0,0.0,17630,0.7046926213126549,0.2952921157118548,1
linkt007__tu_binned,0.2268158082033849,1.0,2.0,1621,0.064793348788872,0.230721776681061,2
linkt007__tu_binned,0.297095682683005,3.0,118.0,5767,0.2305140298984731,0.2184844806658574,3
at01s__tu_binned,-0.1851478300513985,0.0,2.0,4726,0.1889039891278279,0.3116800677105374,1
at01s__tu_binned,-0.110368711185649,3.0,4.0,3799,0.151850667519386,0.2958673335088181,2
at01s__tu_binned,-0.0741746940172286,5.0,6.0,2944,0.1176752738028619,0.288383152173913,3
at01s__tu_binned,-0.0413309808917847,7.0,7.0,1278,0.0510832200815412,0.2816901408450704,4
at01s__tu_binned,0.0038396010677314,8.0,9.0,2109,0.0842993045007594,0.2726410621147463,5
at01s__tu_binned,0.0327058286261725,10.0,11.0,1622,0.064833320009593,0.2669543773119605,6
at01s__tu_binned,0.1150055486976726,12.0,15.0,2584,0.1032856343432728,0.2511609907120743,7
at01s__tu_binned,0.2112141002637097,16.0,31.0,4531,0.1811096010872172,0.233502538071066,8
at01s__tu_binned,0.265889739235316,32.0,240.0,1425,0.0569589895275401,0.223859649122807,9
at02s__tu_binned,-0.0356392543233555,0.0,2.0,16151,0.6455751858661763,0.2805399046498669,1
at02s__tu_binned,-0.0139052518115719,3.0,4.0,4088,0.1634023503077784,0.2761741682974559,2
at02s__tu_binned,0.1097592527823672,5.0,9.0,3141,0.1255496042849148,0.2521489971346705,3
at02s__tu_binned,0.1924691506109538,10.0,39.0,1638,0.0654728595411303,0.2368742368742368,4
at03s__tu_binned,-0.0542888146459861,0.0,1.0,13724,0.5485650331761132,0.2843194403963859,1
at03s__tu_binned,-0.0029996177162408,2.0,2.0,3573,0.1428171716364217,0.2739994402462916,2
at03s__tu_binned,0.0273917736328803,3.0,4.0,3612,0.1443760492445439,0.2679955703211517,3
at03s__tu_binned,0.1317222822909494,5.0,9.0,2665,0.1065233032216804,0.2480300187617261,4
at03s__tu_binned,0.2391954259645839,10.0,37.0,1444,0.0577184427212407,0.2285318559556786,5
at06s__tu_binned,-0.0028112512812718,0.0,1.0,20616,0.8240466863858023,0.2739619712844393,1
at06s__tu_binned,0.0082531722281906,2.0,2.0,2366,0.0945719082260772,0.2717666948436179,2
at06s__tu_binned,0.018993164888505,3.0,14.0,2036,0.0813814053881205,0.2696463654223968,3
at09s__tu_binned,-0.0111162421479395,0.0,7.0,22934,0.9166999760172676,0.2756169878782593,1
at09s__tu_binned,0.1263128797462454,8.0,41.0,2084,0.0833000239827324,0.2490403071017274,2
at12s__tu_binned,-0.036574226254697,0.0,2.0,16304,0.6516907826365017,0.2807286555446516,1
at12s__tu_binned,-0.0088987282457503,3.0,4.0,4012,0.1603645375329762,0.2751744765702891,2
at12s__tu_binned,0.1151560475082836,5.0,9.0,3090,0.1235110720281397,0.2511326860841424,3
at12s__tu_binned,0.1884967803232693,10.0,39.0,1612,0.0644336078023822,0.2375930521091811,4
at20s__tu_binned,-0.4076193611335965,0.0,23.0,2278,0.0910544408026221,0.3612818261633011,1
at20s__tu_binned,-0.2953269956887592,24.0,41.0,1897,0.0758254057078903,0.3357933579335793,2
at20s__tu_binned,-0.2045280944676585,42.0,55.0,1659,0.066312255176273,0.3158529234478601,3
at20s__tu_binned,-0.0499704896449855,56.0,75.0,3080,0.1231113598209289,0.2834415584415584,4
at20s__tu_binned,-0.02424157206837,76.0,84.0,1664,0.0665121112798785,0.2782451923076923,5
at20s__tu_binned,0.0206770787303485,85.0,101.0,2744,0.1096810296586457,0.2693148688046647,6
at20s__tu_binned,0.0327325280441265,102.0,115.0,1888,0.0754656647214006,0.2669491525423729,7
at20s__tu_binned,0.1631154870058988,116.0,153.0,4628,0.184986809497162,0.2422212618841832,8
at20s__tu_binned,0.1911111608973398,154.0,175.0,1611,0.0643936365816612,0.2371198013656114,9
at20s__tu_binned,0.2117691272364101,176.0,200.0,1431,0.0571988168518666,0.23340321453529,10
at20s__tu_binned,0.3730072998968664,201.0,775.0,2138,0.0854584699016708,0.205799812909261,11
at21s__tu_binned,-0.050974257163589,0.0,24.0,18368,0.7341913822048125,0.2836454703832752,1
at21s__tu_binned,0.0328953414603117,25.0,33.0,1862,0.0744264129826524,0.2669172932330827,2
at21s__tu_binned,0.1731927335963045,34.0,71.0,3507,0.1401790710688304,0.2403763900769888,3
at21s__tu_binned,0.2514092712873487,72.0,532.0,1281,0.0512031337437045,0.2263856362217018,4
