feature,from_nan,from_df,from_name,sum
inputprovidedlexid__ln,0,1,0,1
inputprovideddateofbirth__ln,0,1,0,1
inputprovidedssn__ln,0,1,0,1
inputprovidedlastname__ln,0,1,0,1
inputprovidedfirstname__ln,0,1,0,1
fltinsuredunemploymentpremium__app,0,1,0,1
fltinsuredlifepremium__app,0,1,0,1
linkf135__tu,1,0,0,1
fltinsureddisabilitypremium__app,0,1,0,1
fltaddfee__app,0,1,0,1
intscore__ln,1,0,0,1
rtl_trd__tu,1,0,0,1
rev_trd__tu,1,0,0,1
nomt_trd__tu,1,0,0,1
inst_trd__tu,1,0,0,1
bc_trd__tu,1,0,0,1
eadms1__tu,1,0,0,1
linkc040__tu,1,0,0,1
linkc042__tu,1,0,0,1
linkc036__tu,1,0,0,1
linkc030__tu,1,0,0,1
linkc037__tu,1,0,0,1
linka067__tu,0,1,0,1
linka073__tu,0,1,0,1
purchaseactivitycount__ln,0,1,0,1
purchaseactivitydollartotal__ln,0,1,0,1
RunningNetLoss,0,0,1,1
addrcurrenttaxyr__ln,0,0,1,1
bitrolled__app,0,0,1,1
addrinputtaxyr__ln,0,0,1,1
fltapproveddebttoincome__app,0,0,1,1
applicationquarter__app,0,0,1,1
applicationdayofweek__app,0,0,1,1
applicationmonth__app,0,0,1,1
subjectage__ln,0,0,1,1
fltapprovedapr_contract__app,0,0,1,1
strcity__app,0,0,1,1
bitapproved__app,0,0,1,1
strzipcode__app,0,0,1,1
dealercity__app,0,0,1,1
dealerzip__app,0,0,1,1
bitlhmgroup__app,0,0,1,1
runningnetloss__app,0,0,1,1
fundeddate__app,0,0,1,1
dtmstampcreation__app,0,0,1,1
dtmfunded__app,0,0,1,1
dtmapproved__app,0,0,1,1
approvaldate__app,0,0,1,1
ssndatelowissued__ln,0,0,1,1
bigdealerid__app,0,0,1,1
uniqueid__app,0,0,1,1
bigdebtorid__app,0,0,1,1
bigaccountid__app,0,0,1,1
addrcurrentcorrectional__ln,0,1,0,1
lienjudgmentforeclosurecount__ln,0,1,0,1
linkc007__tu,1,0,0,1
linkc034__tu,1,0,0,1
linkc033__tu,1,0,0,1
