feature,importance,description
sd17s__tu,0.0,
sd18s__tu,0.0,
sd19s__tu,0.0,
sd20s__tu,0.0,
sd21s__tu,0.0,
sd12s__tu,0.0,
agg812__tu,0.0,Aggregate bankcard actual payment for month 12
agg813__tu,0.0,Aggregate bankcard actual payment for month 13
agg814__tu,0.0,Aggregate bankcard actual payment for month 14
agg815__tu,0.0,Aggregate bankcard actual payment for month 15
agg816__tu,0.0,Aggregate bankcard actual payment for month 16
agg817__tu,0.0,Aggregate bankcard actual payment for month 17
agg818__tu,0.0,Aggregate bankcard actual payment for month 18
agg819__tu,0.0,Aggregate bankcard actual payment for month 19
sr45s__tu,0.0,
agg821__tu,0.0,Aggregate bankcard actual payment for month 21
agg822__tu,0.0,Aggregate bankcard actual payment for month 22
agg823__tu,0.0,Aggregate bankcard actual payment for month 23
agg824__tu,0.0,Aggregate bankcard actual payment for month 24
agg901__tu,0.0,Number of aggregate non-mortgage balance increases over last 3 months
agg903__tu,0.0,Number of aggregate non-mortgage credit line increases over last 3 months
agg904__tu,0.0,Number of aggregate non-mortgage credit line decreases over last 3 months
agg905__tu,0.0,Average aggregate bankcard utilization over last 3 months
agg820__tu,0.0,Aggregate bankcard actual payment for month 20
agg716__tu,0.0,Aggregate bankcard amount past due for month 16
agg717__tu,0.0,Aggregate bankcard amount past due for month 17
agg718__tu,0.0,Aggregate bankcard amount past due for month 18
agg719__tu,0.0,Aggregate bankcard amount past due for month 19
agg720__tu,0.0,Aggregate bankcard amount past due for month 20
agg721__tu,0.0,Aggregate bankcard amount past due for month 21
agg722__tu,0.0,Aggregate bankcard amount past due for month 22
agg723__tu,0.0,Aggregate bankcard amount past due for month 23
agg810__tu,0.0,Aggregate bankcard actual payment for month 10
agg802__tu,0.0,Aggregate bankcard actual payment for month 2
agg803__tu,0.0,Aggregate bankcard actual payment for month 3
agg804__tu,0.0,Aggregate bankcard actual payment for month 4
agg805__tu,0.0,Aggregate bankcard actual payment for month 5
agg806__tu,0.0,Aggregate bankcard actual payment for month 6
agg807__tu,0.0,Aggregate bankcard actual payment for month 7
agg808__tu,0.0,Aggregate bankcard actual payment for month 8
agg809__tu,0.0,Aggregate bankcard actual payment for month 9
agg724__tu,0.0,Aggregate bankcard amount past due for month 24
trv21__tu,0.0,Number of bankcard credit limit decreases YOY
trv22__tu,0.0,Number of months bankcard credit limit decreases last 12 months
trv23__tu,0.0,Number of mortgages with a balance decrease 6 months ago to last month
balmag02__tu,0.0,Bankcard balance magnitude algorithm over last 24 months
rvlr01__tu,0.0,Bankcard revolver trade utilization last month
rvlr02__tu,0.0,Retail revolver trade utilization last month
rvlr03__tu,0.0,Total bankcard revolver trade balance
rvlr04__tu,0.0,Total retail revolver trade balance
agg907__tu,0.0,Max aggregate bankcard balance over last 3 months
rvlr07__tu,0.0,Number of bankcard revolver trades over last month
rvlr08__tu,0.0,Number of bankcard revolver trades over last 3 months
rvlr10__tu,0.0,Number of bankcard revolver trades on newly opened cards
rvlr11__tu,0.0,Number of retail revolver trades over last month
rvlr12__tu,0.0,Number of retail revolver trades over last 3 months
rvlr13__tu,0.0,Number of retail revolver trades over last 6 months
rvlr29__tu,0.0,Bankcard balance for bankcard with highest balance
rvlr30__tu,0.0,Bankcard balance for bankcard with second highest balance
rvlr06__tu,0.0,Ratio of retail revolver trade balance to total retail balance
agg908__tu,0.0,Max aggregate bankcard balance over last 12 months
agg909__tu,0.0,Months since max aggregate bankcard balance over last 12 months
trv01__tu,0.0,Number of months since overlimit on a bankcard
trv02__tu,0.0,Number of months overlimit on a bankcard over last 12 months
trv04__tu,0.0,Number of non-mortgage balance increases last 3 months
trv05__tu,0.0,Number of non-mortgage trades with a balance increase YOY
trv06__tu,0.0,Number of months non-mortgage balance increases last 12 months
trv08__tu,0.0,Number of non-mortgage balance decreases last 3 months
trv20__tu,0.0,Number of bankcard credit limit decreases last 3 months
trv10__tu,0.0,Number of months non-mortgage balance decreases last 12 months
trv11__tu,0.0,Number of revolving high credit increases last month
trv13__tu,0.0,Number of revolving high credit increases YOY
trv15__tu,0.0,Number of bankcard credit limit increases last month
trv16__tu,0.0,Number of bankcard credit limit increases last 3 months
trv17__tu,0.0,Number of bankcard credit limit increases YOY
trv18__tu,0.0,Number of months bankcard credit limit increases last 12 months
trv19__tu,0.0,Number of bankcard credit limit decreases last month
trv09__tu,0.0,Number of non-mortgage balance decreases YOY
agg422__tu,0.0,Aggregate non-mortgage actual payment for month 22
agg501__tu,0.0,Aggregate bankcard balances for month 1
agg502__tu,0.0,Aggregate bankcard balances for month 2
agg503__tu,0.0,Aggregate bankcard balances for month 3
agg504__tu,0.0,Aggregate bankcard balances for month 4
agg506__tu,0.0,Aggregate bankcard balances for month 6
agg507__tu,0.0,Aggregate bankcard balances for month 7
agg508__tu,0.0,Aggregate bankcard balances for month 8
agg714__tu,0.0,Aggregate bankcard amount past due for month 14
agg510__tu,0.0,Aggregate bankcard balances for month 10
agg511__tu,0.0,Aggregate bankcard balances for month 11
agg512__tu,0.0,Aggregate bankcard balances for month 12
agg513__tu,0.0,Aggregate bankcard balances for month 13
agg514__tu,0.0,Aggregate bankcard balances for month 14
agg515__tu,0.0,Aggregate bankcard balances for month 15
agg516__tu,0.0,Aggregate bankcard balances for month 16
agg517__tu,0.0,Aggregate bankcard balances for month 17
agg509__tu,0.0,Aggregate bankcard balances for month 9
agg320__tu,0.0,Aggregate non-mortgage amount past due for month 20
agg323__tu,0.0,Aggregate non-mortgage amount past due for month 23
agg401__tu,0.0,Aggregate non-mortgage actual payment for month 1
agg402__tu,0.0,Aggregate non-mortgage actual payment for month 2
agg403__tu,0.0,Aggregate non-mortgage actual payment for month 3
agg404__tu,0.0,Aggregate non-mortgage actual payment for month 4
