accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8428153,2025-01-06 21:20:49+00:00,0.0625009735386489,0.6668965928873265,0.09836877967995553,0.11763163861055664,0.17289834384226316,0.044926525405150075,13.0,0.9962044642857143,Franchise,6783.38,38265,1,A,A1,1,1,0,0,1,0,0,0
8506098,2024-12-19 00:13:24+00:00,0.06887831007197656,0.6058650292708551,0.09848506406100885,0.030731956544468347,0.01,0.000678856627284688,13.0,0.06711711711711711,Franchise,2920.0,85468,1,A,A1,1,1,0,0,1,0,0,0
8518351,2024-12-27 01:43:27+00:00,0.06572851255045432,0.6371827201451832,0.09883933090646889,0.21162419767364513,0.19939686644815996,0.09321193106645914,,0.6699252858958068,Independent,13891.68,22815,0,A,A,1,1,0,0,1,0,0,0
8559239,2025-01-12 02:13:30+00:00,0.078566032954656,0.5340832572234376,0.09902749457861001,0.343336018561331,0.3372811670434425,0.3287676586895118,,1.040460358056266,Franchise,6000.0,24613,0,A,D,1,1,0,0,1,0,0,0
8485063,2024-12-14 01:17:57+00:00,0.0780780882069572,0.5377294985907026,0.09908434328497669,0.14115322174338896,0.27775640912627786,0.08660495407729984,,0.9892062620159296,Franchise,5800.0,5,0,A,A,1,1,0,0,1,0,0,0
8547645,2025-01-08 22:19:34+00:00,0.07266102295958268,0.5779032019894911,0.09909884927449243,0.2626062459550971,0.3372811670434425,0.19565231682332473,,1.1224064394060866,Franchise,24954.5,51410,0,A,B,1,1,0,0,1,0,0,0
8464735,2024-12-06 00:44:09+00:00,0.0732967525493786,0.5741218451396541,0.09931178968668959,0.1928914569296203,0.31672530923551634,0.1349533326716817,7.0,1.27,Independent,6000.0,0,1,A,B,1,1,0,0,1,0,0,0
8573905,2025-01-18 00:11:21+00:00,0.07893520952513802,0.5340367993507251,0.09948416369608525,0.14711023075461319,0.3372811670434425,0.10960309558088535,,1.0491474423269809,Franchise,7750.0,5300,0,A,A,1,1,0,0,1,0,0,0
8511474,2024-12-20 23:27:58+00:00,0.07253691712830526,0.5818042138557734,0.09959739034703785,0.23625868135127934,0.27775640912627786,0.14495717487758497,,0.8417777777777777,Franchise,8233.33,21757,0,A,B,1,1,0,0,1,0,0,0
8580961,2025-01-21 01:24:31+00:00,0.0739671548700379,0.570695586185998,0.09962203998467757,0.15108879394960598,0.2938038635922092,0.09805677572115377,7.0,1.2122222222222223,Franchise,8613.0,39332,1,A,A,1,1,0,0,1,0,0,0
8500621,2024-12-16 21:55:40+00:00,0.0764692810659482,0.5521542283840176,0.0996458950416361,0.3655907257290693,0.3904153872148606,0.40522826141823337,,1.4934377038486628,Franchise,5000.0,7062,0,A,Decline,1,0,0,1,0,0,1,0
8475572,2024-12-10 22:41:01+00:00,0.0738319184861189,0.5727388073396317,0.09979591565211447,0.3106890268890426,0.31672530923551634,0.217368463438463,7.0,1.27,Franchise,4973.04,0,1,A,B,1,1,0,0,1,0,0,0
8530820,2024-12-31 01:07:01+00:00,0.06989340803021958,0.60579427287889,0.09992482206019888,0.2804117314855651,0.3501845945669622,0.27878592634692073,,1.1453714285714285,Franchise,4800.0,30416,0,A,C,1,1,0,0,1,0,0,0
8482380,2024-12-16 22:44:21+00:00,0.08154560020012082,0.5192830312159806,0.0999347816320187,0.15461571060627097,0.39004257415648635,0.13321510961332778,,1.3192429893631716,Franchise,9000.0,29653,0,A,B,1,1,0,0,1,0,0,0
8432373,2024-11-30 03:45:30+00:00,0.06961027062205023,0.6088338987516632,0.10001937819611564,0.07819574464089335,0.19939686644815996,0.034442074390744926,,0.5892439617442049,Franchise,3500.0,10,0,A,A1,1,1,0,0,1,0,0,0
8552231,2025-01-09 06:44:24+00:00,0.07151329841483403,0.5929725238426778,0.10007679367648654,0.2999109062908606,0.27775640912627786,0.18401117555659238,,0.8484848484848485,Franchise,7759.0,29293,0,A,B,1,1,0,0,1,0,0,0
8502537,2024-12-21 06:11:40+00:00,0.06506322607748294,0.6520786537524423,0.10012616445177426,0.4250122780860739,0.31672530923551634,0.29735284427358977,7.0,1.27,Franchise,4872.75,62802,1,A,C,1,1,0,0,1,0,0,0
8535606,2025-01-02 03:03:33+00:00,0.07690740968485091,0.5522342099906805,0.10023133020619408,0.21427058031393134,0.3372811670434425,0.15964028316625514,,1.1014201231041558,Franchise,6166.67,51455,0,A,B,1,1,0,0,1,0,0,0
8555672,2025-01-10 23:16:32+00:00,0.0653624828772211,0.6499233930898571,0.10025423169952528,0.2698058375690578,0.27775640912627786,0.16554012642329263,,0.9581915070774355,Franchise,4163.0,59671,0,A,B,1,1,0,0,1,0,0,0
8478434,2024-12-11 07:39:11+00:00,0.07269181926374929,0.5846404185686624,0.10029663851246723,0.2633391428821969,0.2938038635922092,0.1709073624666907,7.0,1.209983686786297,Independent,3550.0,95322,1,A,B,1,1,0,0,1,0,0,0
8539436,2025-01-04 03:57:28+00:00,0.07495715577169737,0.5677127040828701,0.10042774584068649,0.1522875503689596,0.3372811670434425,0.11346040892770849,,1.0695899581589958,Franchise,11666.67,21317,0,A,A,1,1,0,0,1,0,0,0
8461561,2024-12-04 22:51:21+00:00,0.06929683026587224,0.6144764841685957,0.10049180339689061,0.2482384684196922,0.17289834384226316,0.09480860752875703,7.0,0.9565420560747664,Franchise,12766.67,65976,1,A,A,1,1,0,0,1,0,0,0
8572527,2025-01-17 05:30:55+00:00,0.06565193100892124,0.6490326651752816,0.10056018470563231,0.16372349514179296,0.3501845945669622,0.12664728836216765,,1.161519536903039,Independent,7820.0,67992,0,A,A,1,1,0,0,1,0,0,0
8540826,2025-01-04 05:13:41+00:00,0.06988184630733527,0.6100060939961457,0.10060291097293668,0.28748865139312546,0.3501845945669622,0.22238505293515273,,1.1400447427293066,Independent,9104.0,65222,0,A,B,1,1,0,0,1,0,0,0
8502589,2024-12-17 05:31:20+00:00,0.07025233978065103,0.6077634041510493,0.10076445077220857,0.15686337221864158,0.27775640912627786,0.09624396085059332,,0.8491089108910891,Independent,4500.0,72774,0,A,A,1,1,0,0,1,0,0,0
