accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8438932,0.1406467331221905,0.2359518228283632,0.15253864796049796,0.2539336791316083,,,Franchise,6800.0,B,B,1,1,0,0,1,0,0,0
8438958,0.17961105523454676,0.2711065612074253,0.15298521867164575,0.2547618182072783,,1.02044703595724,Franchise,4150.0,C,B,1,1,0,0,1,0,0,0
8438962,0.25752276440256966,0.354576104981462,0.21371563979261618,0.3990526576420337,,1.2,Independent,5499.0,Decline,Decline,0,0,1,1,0,1,0,0
8439007,0.35115687169338367,0.527220576255561,0.21060331112892103,0.3885000753397025,,0.9949545913218971,Franchise,8568.0,Decline,Decline,0,0,1,1,0,1,0,0
8439023,0.39434406958557905,0.6686444456432111,0.21919119397420894,0.40832409741697967,,1.1704836193447739,Franchise,4100.0,Decline,Decline,0,0,1,1,0,1,0,0
8439024,0.21534116139110726,0.30351840520451406,0.170509870280118,0.3036220421915514,,1.0661137440758295,Independent,6594.58,C,C,1,1,0,0,1,0,0,0
8439030,0.30845897533184563,0.4137296459380501,0.09485014582569194,0.12820289364529092,,1.1893050647820966,Independent,7140.0,Decline,A,0,1,1,0,0,0,0,1
8439031,0.388459993128239,0.6467577906983702,0.21511080564505036,0.40470826921732234,,1.2453538461538463,Independent,3500.0,Decline,Decline,0,0,1,1,0,1,0,0
8439042,0.29109699576372516,0.4837824250608819,0.1651402538205624,0.2878185793397546,,1.1446288209606987,Franchise,3976.0,Decline,C,0,1,1,0,0,0,0,1
8439046,0.1231185004624216,0.18928411502566395,0.1220327144795056,0.19352144150664663,,1.0402119205298013,Independent,5000.0,B,B,1,1,0,0,1,0,0,0
8439072,0.15220525731595153,0.2345961131438257,0.19587547608822986,0.3585776476584225,7.0,,Franchise,3983.0,B,Decline,1,0,0,1,0,0,1,0
8439086,0.14848810992199704,0.22130104381121213,0.11016148362218567,0.15700288572686685,,0.7492379433059271,Franchise,5500.0,B,B,1,1,0,0,1,0,0,0
8439151,0.34421936167327727,0.5375404202761371,0.15303412386312887,0.2548571678753678,,1.594460641399417,Franchise,6650.0,Decline,B,0,1,1,0,0,0,0,1
8439160,0.19971067731404316,0.3031266908720302,0.16405163179795715,0.2852700452961421,,0.9425177735391018,Franchise,3860.0,C,C,1,1,0,0,1,0,0,0
8439166,0.3419217288529857,0.519980188256091,0.23479661550579808,0.457321154065413,,1.0560983606557377,Franchise,8005.0,Decline,Decline,0,0,1,1,0,1,0,0
8439168,0.36383672946812956,0.5242364941964403,0.26941908365222766,0.5418164835125037,,1.389297340795201,Franchise,11760.0,Decline,Decline,0,0,1,1,0,1,0,0
8439175,0.24694538430747084,0.36772474725106097,0.2214567773179915,0.4149426593240965,,1.1817669654289373,Franchise,5668.0,Decline,Decline,0,0,1,1,0,1,0,0
8439187,0.23601000861485522,0.3602794237398562,0.20081375769482107,0.36749879249894996,,0.3765142857142857,Independent,5800.0,Decline,Decline,0,0,1,1,0,1,0,0
8439188,0.4575231928625708,0.7223107759475432,0.40082063989646505,0.8647749239234402,,1.1755858310626703,Independent,4500.0,Decline,Decline,0,0,1,1,0,1,0,0
8439214,0.11860029031704204,0.16960720715625036,0.1500418394319516,0.248819902461085,,1.1941322092867657,Franchise,6000.0,B,B,1,1,0,0,1,0,0,0
8439226,0.1492169741599952,0.2321239517891438,0.10885832805773471,0.15464964436468145,,0.9970579915134371,Independent,4250.0,B,B,1,1,0,0,1,0,0,0
8439229,0.35888066256213946,0.6073848265712194,0.4297130780317435,0.9710462611181899,7.0,1.2390041493775934,Franchise,3882.0,Decline,Decline,0,0,1,1,0,1,0,0
8439235,0.09032418299033934,0.15191635919135965,0.2491556742952041,0.4852773507438425,,0.8733197556008147,Independent,4400.0,B,Decline,1,0,0,1,0,0,1,0
8439259,0.20008324069430222,0.31451018699506583,0.2269713108753669,0.4352462765357027,,0.9412981298129813,Independent,4065.0,C,Decline,1,0,0,1,0,0,1,0
8439291,0.3264434724512679,0.47892340942638817,0.22025854144918983,0.4112107778059902,,1.1047964530431278,Franchise,4733.0,Decline,Decline,0,0,1,1,0,1,0,0
8439293,0.29143516905385064,0.465467770996752,0.28506397918257587,0.5896363472454373,,1.5440045036592231,Independent,3637.0,Decline,Decline,0,0,1,1,0,1,0,0
8439297,0.451588575899515,0.7636220507420952,0.36837073704643053,0.7848806290225517,,,Franchise,6200.0,Decline,Decline,0,0,1,1,0,1,0,0
8439299,0.2463417389603556,0.38915501310689293,0.29681977220729555,0.607736616699607,,1.072351510941299,Franchise,14000.0,Decline,Decline,0,0,1,1,0,1,0,0
8439300,0.023762343013665695,0.030790347719197104,0.04493411380052569,0.03521509564664419,,0.8867693146205206,Franchise,3957.2,A1,A1,1,1,0,0,1,0,0,0
8439319,0.2526354939642922,0.36579229490184073,0.1910895992524397,0.3441858400058282,,0.486360248447205,Independent,3572.47,Decline,D,0,1,1,0,0,0,0,1
8439340,0.30454078665818257,0.43265881865049194,0.16434867799224717,0.2859654495071114,,1.0825494555612565,Franchise,3680.0,Decline,C,0,1,1,0,0,0,0,1
8439370,0.2489849687135947,0.38221607324150375,0.327496775677472,0.7205963022980767,,1.0963218390804597,Independent,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8439384,0.2472581643127918,0.4084858447293496,0.21907495187362847,0.4082265563739453,7.0,1.1124271844660194,Franchise,3958.33,Decline,Decline,0,0,1,1,0,1,0,0
8439396,0.07123219455292346,0.10883261921687477,0.20865234670673738,0.38325576434166264,,1.2988814201183432,Franchise,9960.75,A,Decline,1,0,0,1,0,0,1,0
