feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
jt70s__tu,0.2363194459928342,0.2718936295217142,0.2714084392216933,-0.0004851903000209,0
linkt010__tu,0.2335306992337105,0.271892006125507,0.2714084392216933,-0.0004835669038137,0
addrpreviouslengthofres__ln,0.235285728171048,0.2718901805047798,0.2714084392216933,-0.0004817412830865,0
g209s__tu,0.2354297150391086,0.2718839941719542,0.2714084392216933,-0.0004755549502609,0
inquiryshortterm12month__ln,0.2329934536538376,0.2718834376565703,0.2714084392216933,-0.000474998434877,0
se57s__tu,0.2324117247102504,0.2718834359500682,0.2714084392216933,-0.0004749967283749,0
aut201__tu,0.2332487718574629,0.2718820991915863,0.2714084392216933,-0.000473659969893,0
fi01s__tu,0.2345736641460257,0.27187865061275,0.2714084392216933,-0.0004702113910567,0
au28s__tu,0.2312399935056056,0.2718678498759352,0.2714084392216933,-0.0004594106542419,0
rev13__tu,0.2336939340080901,0.2718669338793285,0.2714084392216933,-0.0004584946576352,0
addrinputtimelastsale__ln,0.234387978440888,0.2718663261888986,0.2714084392216933,-0.0004578869672053,0
g990s__tu,0.2333412897744877,0.2718582355960978,0.2714084392216933,-0.0004497963744045,0
ret322__tu,0.2327848291774136,0.2718576963633611,0.2714084392216933,-0.0004492571416678,0
st33s__tu,0.2407071343813454,0.2718494728539119,0.2714084392216933,-0.0004410336322186,0
g221a__tu,0.2311367663647476,0.2718492805120745,0.2714084392216933,-0.0004408412903812,0
us20s__tu,0.2344075140463448,0.2718476967452739,0.2714084392216933,-0.0004392575235806,0
confirmationinputdob__ln,0.2329826892109793,0.271846387305691,0.2714084392216933,-0.0004379480839977,0
assetpropsaletimeoldest__ln,0.225862203825451,0.2718459629252697,0.2714084392216933,-0.0004375237035764,0
ret319__tu,0.2327398174844794,0.2718421164465399,0.2714084392216933,-0.0004336772248466,0
inquirytelcom12month__ln,0.2384333437854393,0.2718382080950301,0.2714084392216933,-0.0004297688733368,0
rvdex01__tu,0.2384481287555782,0.2718370072635556,0.2714084392216933,-0.0004285680418623,0
criminalnonfelonycount12month__ln,0.2346991825790781,0.2718330429139008,0.2714084392216933,-0.0004246036922075,0
s063s__tu,0.2355825740186875,0.2718320779684975,0.2714084392216933,-0.0004236387468042,0
fltgapinsurance__app,0.2335736623127081,0.2718319335995578,0.2714084392216933,-0.0004234943778645,0
rvlr80__tu,0.2354750658532719,0.2718301502080205,0.2714084392216933,-0.0004217109863272,0
mt21s__tu,0.2370913560408484,0.2718220140603001,0.2714084392216933,-0.0004135748386068,0
linkf032__tu,0.2360650256059782,0.2718210920034246,0.2714084392216933,-0.0004126527817313,0
vehiclemodel__app,0.2371877994779969,0.27181801153958,0.2714084392216933,-0.0004095723178867,0
cv24__tu,0.2359584960072975,0.2718132921551728,0.2714084392216933,-0.0004048529334795,0
in20s__tu,0.235587404936121,0.2718132568155342,0.2714084392216933,-0.0004048175938409,0
rev_trd__tu,0.2276477478941224,0.2718120999405399,0.2714084392216933,-0.0004036607188466,0
bkc12__tu,0.2342997824955195,0.2718005160970922,0.2714084392216933,-0.0003920768753989,0
rev253__tu,0.232845446099956,0.2717953686858357,0.2714084392216933,-0.0003869294641424,0
fi25s__tu,0.2323779951710664,0.2717897163279325,0.2714084392216933,-0.0003812771062391,0
linkf197__tu,0.2334015358358762,0.2717876157760186,0.2714084392216933,-0.0003791765543253,0
linkt002__tu,0.237232441795506,0.2717752410407347,0.2714084392216933,-0.0003668018190414,0
jt75s__tu,0.2327223917911172,0.2717740010363916,0.2714084392216933,-0.0003655618146983,0
g041c__tu,0.2327740933232049,0.271765945695912,0.2714084392216933,-0.0003575064742187,0
s207a__tu,0.2290470460922747,0.2717614817527881,0.2714084392216933,-0.0003530425310948,0
fltservicecontract__app,0.2377110992272951,0.2717612821917396,0.2714084392216933,-0.0003528429700463,0
fi24s__tu,0.2353113977470112,0.2717610118765932,0.2714084392216933,-0.0003525726548999,0
rp04s__tu,0.2379313395294614,0.2717497243580865,0.2714084392216933,-0.0003412851363931,0
addrinputlastsaleprice__ln,0.2375980848268974,0.2717484519406634,0.2714084392216933,-0.0003400127189701,0
ret328__tu,0.2368257510174622,0.2717465861923295,0.2714084392216933,-0.0003381469706362,0
rvlr02__tu,0.2334445348110278,0.2717403002477383,0.2714084392216933,-0.000331861026045,0
vehicleage__app,0.230556049151494,0.2717386424446176,0.2714084392216933,-0.0003302032229243,0
addrstabilityindex__ln,0.2332563555018461,0.2717272139343105,0.2714084392216933,-0.0003187747126172,0
re01s__tu,0.2324814254190284,0.2717255020292119,0.2714084392216933,-0.0003170628075186,0
s204s__tu,0.2310998320819147,0.2717246992018357,0.2714084392216933,-0.0003162599801423,0
linkf096__tu,0.2332919214281806,0.2717180348437715,0.2714084392216933,-0.0003095956220782,0
linka024__tu,0.2324479419953125,0.2717034530445928,0.2714084392216933,-0.0002950138228995,0
rt06s__tu,0.2370375674468375,0.2716885807602955,0.2714084392216933,-0.0002801415386022,0
linka084__tu,0.2359632542577426,0.2716550020602273,0.2714084392216933,-0.000246562838534,0
g099s__tu,0.2308718122664586,0.2716336873715962,0.2714084392216933,-0.0002252481499029,0
bankruptcychapter__ln,0.2344045642685032,0.2716307433665325,0.2714084392216933,-0.0002223041448392,0
bc34s__tu,0.2337933739737933,0.2716259975172296,0.2714084392216933,-0.0002175582955363,0
linka013__tu,0.2299874312895386,0.2716255500469118,0.2714084392216933,-0.0002171108252185,0
rev82__tu,0.2291387852356047,0.2716116949794125,0.2714084392216933,-0.0002032557577192,0
rev233__tu,0.2300355079553658,0.271581926287661,0.2714084392216933,-0.0001734870659677,0
linkf050__tu,0.2297544747262897,0.2715779711258949,0.2714084392216933,-0.0001695319042016,0
of21s__tu,0.2286542474203443,0.2715260856407749,0.2714084392216933,-0.0001176464190816,0
addrinputavmvalue12month__ln,0.2310849559590687,0.2715211513968364,0.2714084392216933,-0.0001127121751431,0
at32s__tu,0.2290427474187201,0.2714772627820476,0.2714084392216933,-6.882356035431414e-05,0
us51a__tu,0.2275355019656547,0.2714752453678433,0.2714084392216933,-6.680614615001135e-05,0
g043c__tu,0.2272931375837585,0.2714302346322452,0.2714084392216933,-2.179541055191692e-05,0
cv13__tu,0.2285283415480165,0.2714112790533212,0.2714084392216933,-2.8398316279099056e-06,0
