feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
agg520__tu,float64,0.003486936,-6,436012,436018,3559.431074,876.5701163,-1,-2,28815,0.013764867,0.714605089,0.047061369,4.78E-07,0.016354945,0.32295098,0.342385197,0.33969032,Aggregate bankcard balances for month 20,0
agg519__tu,float64,0.003486936,-6,495282,495288,3587.736899,888.6959811,-1,-2,28978,0.013842731,0.710803569,0.047061369,4.78E-07,0.016416568,0.322712948,0.342361475,0.339611755,Aggregate bankcard balances for month 19,0
agg518__tu,float64,0.003486936,-6,298930,298936,3601.674684,901.4840088,-1,-2,29092,0.013897189,0.706928006,0.047061369,4.78E-07,0.016537425,0.322685312,0.342454442,0.339407819,Aggregate bankcard balances for month 18,0
agg516__tu,float64,0.003486936,-6,287389,287395,3684.056522,931.3903256,-1,-1,29481,0.014083013,0.698035181,0.047061369,4.78E-07,0.01648679,0.322317243,0.342512017,0.33915431,Aggregate bankcard balances for month 16,0
agg705__tu,float64,0.003486936,-6,163348,163354,1496.982841,244.1770129,-1,-1,15416,0.007364192,0.631518129,0.047061369,4.78E-07,0.224548611,0.318637262,0.342879706,0.319876991,Aggregate bankcard amount past due for month 5,0
agg515__tu,float64,0.003486936,-6,313094,313100,3712.26351,945.4307178,-1,-1,29756,0.01421438,0.693791312,0.047061369,4.78E-07,0.016530738,0.32225752,0.342604196,0.339238079,Aggregate bankcard balances for month 15,0
agg514__tu,float64,0.003486936,-6,284337,284343,3742.312537,960.9914984,-1,-1,29875,0.014271226,0.688229475,0.047061369,4.78E-07,0.016999359,0.322220283,0.342749221,0.339171425,Aggregate bankcard balances for month 14,0
agg513__tu,float64,0.003486936,-6,302110,302116,3774.162799,976.9354339,-1,-1,30084,0.014371065,0.683861405,0.047061369,4.78E-07,0.016575164,0.321707062,0.342614473,0.339021896,Aggregate bankcard balances for month 13,0
agg512__tu,float64,0.003486936,-6,297118,297124,3804.354763,991.031915,-1,-1,30243,0.014447019,0.678756246,0.047061369,4.78E-07,0.016753823,0.321548476,0.342690145,0.339026818,Aggregate bankcard balances for month 12,0
agg511__tu,float64,0.003486936,-6,297752,297758,3845.627464,1008.312984,-1,-1,30503,0.014571221,0.672631681,0.047061369,4.78E-07,0.017291711,0.320889214,0.342546424,0.33878106,Aggregate bankcard balances for month 11,0
