,No,Yes,description
sc25s__tu,1.0384615384615385,1.0940170940170941,
scg300s__tu,3.707317073170732,2.3922651933701657,
scg301s__tu,3.33587786259542,2.940491591203105,
scap01__tu,53.573170731707314,237.60911602209944,
scg001c__tu,2.731707317073171,1.0842541436464088,
scg002c__tu,2.6097560975609757,0.930939226519337,
scg003c__tu,2.5121951219512195,0.8149171270718232,
scg004c__tu,2.475609756097561,0.7665745856353591,
scg066s__tu,0.2824427480916031,0.2535575679172057,
scg221d__tu,0.2926829268292683,0.15469613259668508,
sc27s__tu,1.0,1.0373563218390804,
sc28s__tu,762.4571428571429,2059.379928315412,
sc29s__tu,0.47619047619047616,0.453125,
sc30s__tu,37.142857142857146,15.783154121863799,
sc31s__tu,34.285714285714285,11.109318996415771,
sc32s__tu,224.6904761904762,293.6125,
sc33s__tu,224.6904761904762,299.771875,
sc34s__tu,37.34285714285714,17.989247311827956,
sc104s__tu,37.34285714285714,18.096774193548388,
sc36s__tu,558.1526717557252,686.2432082794307,
sc57s__tu,0.0,4.059375,
sc97a__tu,509.0882352941176,1716.8291366906474,
sc97b__tu,466.84,458.5301204819277,
sc98a__tu,494.77142857142854,1716.9910394265232,
sc101s__tu,218.49333333333334,316.131914893617,
sc102s__tu,762.3714285714286,1887.5645161290322,
sc103s__tu,409.675,596.201166180758,
sc35s__tu,224.6904761904762,258.45,
sr09s__tu,0.11788617886178862,0.17297297297297298,
sr10s__tu,0.21138211382113822,0.2810810810810811,
sr11s__tu,0.46747967479674796,0.4702702702702703,
sr12s__tu,0.7276422764227642,0.6810810810810811,
sr13s__tu,0.9878048780487805,1.1081081081081081,
sr14s__tu,4.525,4.869565217391305,
sr15s__tu,4.883333333333334,5.048913043478261,
sr16s__tu,4.9,5.059782608695652,
lqr315q2__tu,30.423476968796432,41.26226012793177,
sr18s__tu,4.9125,5.065217391304348,
sr19s__tu,4.9125,5.065217391304348,
sr20s__tu,4.9125,5.065217391304348,
sr21s__tu,4.9125,5.065217391304348,
sr22s__tu,3.4748858447488584,3.8596491228070176,
sr23s__tu,3.5211864406779663,3.8121546961325965,
sr24s__tu,3.485355648535565,3.7814207650273226,
sr25s__tu,3.485355648535565,3.766304347826087,
sr17s__tu,4.9,5.065217391304348,
sd67s__tu,2.3276450511945392,1.8461538461538463,
sd68s__tu,6.092150170648464,5.857692307692307,
sd69s__tu,6.334470989761092,6.2153846153846155,
sd70s__tu,6.4573378839590445,6.388461538461539,
sd71s__tu,0.0,0.0,
sd72s__tu,0.0,0.0,
sd85s__tu,0.0,0.0,
sd86s__tu,0.0,0.0,
sr08s__tu,0.07317073170731707,0.05405405405405406,
sd99s__tu,34722.05,27258.150943396227,
sr01s__tu,0.923374613003096,1.0218340611353711,
sr02s__tu,4.525,4.869565217391305,
sr03s__tu,3.4833333333333334,3.766304347826087,
sr04s__tu,0.0,0.0,
sr05s__tu,1.1538461538461537,1.6666666666666667,
sr06s__tu,0.008130081300813009,0.0,
sr07s__tu,0.032520325203252036,0.005405405405405406,
sd87s__tu,0.0,0.0,
sr50s__tu,0.056910569105691054,0.016216216216216217,
sr51s__tu,4.920502092050209,5.087431693989071,
sr52s__tu,0.1991701244813278,0.11602209944751381,
sr53s__tu,0.22131147540983606,0.14207650273224043,
sr54s__tu,0.7387755102040816,0.7675675675675676,
sr55s__tu,4.820833333333334,4.967391304347826,
sr56s__tu,4.877118644067797,4.9890710382513666,
sr57s__tu,4.922413793103448,5.038888888888889,
sr26s__tu,3.4833333333333334,3.766304347826087,
sr59s__tu,4.898678414096916,5.028901734104046,
sr60s__tu,0.0,0.0,
sr61s__tu,97.6652719665272,97.69613259668509,
sr62s__tu,94.18410041841004,95.7182320441989,
sr63s__tu,120.38912133891213,124.34806629834254,
sr64s__tu,66.7029288702929,34.60655737704918,
sr65s__tu,40111.54811715481,30395.081967213115,
sr67s__tu,1.8577235772357723,1.4324324324324325,
sr58s__tu,4.913419913419913,5.051428571428572,
sr27s__tu,3.4833333333333334,3.766304347826087,
sr28s__tu,3.4833333333333334,3.766304347826087,
sr29s__tu,3.4833333333333334,3.766304347826087,
sr35s__tu,16486.062761506277,12107.852459016394,
sr36s__tu,1711.125,571.0344827586207,
sr37s__tu,2.934959349593496,2.9135135135135135,
sr38s__tu,1.4688796680497926,1.2596685082872927,
sr39s__tu,1.5245901639344261,1.289617486338798,
sr49s__tu,1.3211382113821137,1.162162162162162,
sr41s__tu,21317.694560669457,15041.448087431694,
sr42s__tu,668.5243902439024,670.1135135135136,
sr43s__tu,1.8083333333333333,1.684782608695652,
sr44s__tu,91.21544715447155,88.30810810810812,
sr45s__tu,119.04471544715447,119.27567567567567,
sr46s__tu,1.451219512195122,1.308108108108108,
sr47s__tu,1.451219512195122,1.308108108108108,
sr48s__tu,1.4308943089430894,1.3027027027027027,
sr40s__tu,2.453061224489796,2.4486486486486485,
sd08s__tu,0.3890784982935154,0.48846153846153845,
sd09s__tu,0.6075085324232082,0.7692307692307693,
sd10s__tu,0.7815699658703071,0.9153846153846154,
sd11s__tu,1.1399317406143346,1.226923076923077,
sd12s__tu,1.4982935153583619,1.5807692307692307,
sd13s__tu,1.8464163822525597,1.976923076923077,
sd14s__tu,6.078498293515358,6.165384615384616,
sd15s__tu,6.399317406143345,6.319230769230769,
sd66s__tu,37963.662020905926,31509.1511627907,
sd17s__tu,6.412969283276451,6.342307692307692,
sd18s__tu,6.419795221843003,6.365384615384615,
sd19s__tu,6.426621160409557,6.365384615384615,
sd20s__tu,6.426621160409557,6.365384615384615,
sd21s__tu,6.426621160409557,6.365384615384615,
sd22s__tu,5.4071428571428575,5.462450592885376,
sd23s__tu,5.585365853658536,5.453488372093023,
sd24s__tu,5.592334494773519,5.457364341085271,
sd16s__tu,6.412969283276451,6.3307692307692305,
sl66s__tu,39338.152400835075,31237.502475247526,
sl67s__tu,1.9637931034482758,1.6482300884955752,
sl68s__tu,4.979310344827586,5.280973451327434,
sl69s__tu,5.194827586206896,5.59070796460177,
sl70s__tu,5.318965517241379,5.745575221238938,
sl71s__tu,0.26359143327841844,0.2938689217758985,
sl72s__tu,0.02471169686985173,0.014799154334038054,
sl85s__tu,120.86784140969164,80.77368421052631,
sd07s__tu,0.2593856655290102,0.28076923076923077,
sl87s__tu,52.48016701461378,29.635467980295566,
sl99b__tu,27694.054945054944,17551.47410817031,
sl99s__tu,20632.6935483871,18392.425149700597,
sd01s__tu,1.4643962848297214,1.8133187772925765,
sd03s__tu,5.522184300341297,5.453846153846154,
sd04s__tu,0.0,0.0,
sd05s__tu,1.0,1.0,
sd06s__tu,0.15358361774744028,0.15,
sl86s__tu,1.7533039647577093,1.7,
sd49s__tu,0.5324232081911263,0.6807692307692308,
sd50s__tu,0.0,0.0,
sd51s__tu,6.547038327526132,6.37984496124031,
sd52s__tu,0.003484320557491289,0.011627906976744186,
sd53s__tu,0.020905923344947737,0.011627906976744186,
sd54s__tu,0.020761245674740483,0.015444015444015444,
