bigAccountId,DQ15_2
1341096,0
1341122,0
1341148,0
1341173,0
1341181,0
1341184,0
1341188,0
1341197,0
1341208,0
1341228,0
1341239,0
1341258,0
1341292,0
1341298,0
1341327,0
1341328,1
1341330,0
1341340,0
1341349,0
1341360,0
1341363,0
1341392,0
1341398,0
1341427,0
1341437,0
1341447,0
1341449,0
1341450,0
1341460,0
1341471,0
1341479,0
1341481,0
1341501,0
1341503,0
1341505,0
1341523,0
1341527,0
1341536,0
1341549,0
1341558,0
1341562,0
1341572,0
1341574,0
1341576,0
1341579,0
1341637,0
1341736,0
1341745,0
1341761,0
1341764,0
1341798,0
1341807,0
1341816,0
1341835,0
1341836,0
1341852,0
1341855,0
1341972,0
1341974,0
1342002,0
1342012,0
1342058,0
1342073,0
1342085,0
1342088,0
1342119,0
1342123,0
1342145,0
1342157,0
1342173,0
1342177,1
1342205,0
1342261,0
1342275,0
1342283,0
1342301,0
1342312,0
1342319,0
1342320,0
1342321,0
1342323,0
1342367,0
1342374,0
1342391,0
1342439,0
1342453,0
1342479,0
1342481,0
1342515,0
1342518,0
1342524,0
1342528,0
1342558,0
1342560,0
1342567,0
1342588,0
1342593,0
1342632,0
1342650,0
1342681,0
1342697,0
1342700,0
1342716,0
1342736,0
1342759,0
1342763,0
1342766,0
1342777,0
1342780,0
1342792,0
1342802,0
1342812,0
1342817,0
1342821,0
1342831,0
1342861,0
1342878,0
1342888,1
1342908,0
1342921,0
1342930,0
1342939,0
1342964,0
1342970,0
1342977,0
1343022,0
1343027,0
1343029,0
1343065,0
1343076,0
1343079,0
1343119,0
1343131,0
1343139,0
1343144,0
1343233,0
1343256,0
1343287,0
1343307,0
1343317,0
1343360,0
1343365,0
1343372,0
1343378,0
1343379,0
1343392,0
1343393,0
1343484,0
1343490,1
1343525,0
1343542,0
1343552,0
1343558,0
1343563,0
1343579,0
1343596,0
1343604,0
1343617,0
1343629,0
1343634,0
1343681,0
1343747,0
1343758,0
1343762,0
1343770,0
1343771,0
1343808,0
1343816,0
1343829,0
1343851,0
1343918,0
1343930,0
1343954,0
1343969,0
1343999,0
1344035,0
1344044,0
1344086,0
1344089,0
1344090,0
1344109,0
1344132,0
1344156,0
1344162,0
1344163,0
1344166,0
1344201,0
1344209,0
1344245,0
1344248,0
1344268,0
1344270,0
1344304,0
1344310,0
1344332,0
1344334,0
1344340,0
1344348,0
1344357,0
1344396,0
1344410,0
1344437,0
1344439,0
1344472,0
1344513,0
1344517,0
1344550,0
1344571,0
1344584,0
1344614,0
1344616,0
1344622,0
1344625,0
1344627,0
1344628,0
1344630,0
1344631,0
1344637,0
1344641,0
1344645,0
1344652,0
1344684,0
1344719,0
1344757,0
1344789,0
1344816,0
1344859,0
1344868,0
1344881,0
1344905,0
1344917,0
1344918,0
1344926,0
1344942,0
1344961,0
1345008,0
1345016,0
1345035,0
1345050,0
1345051,0
1345063,0
1345071,1
1345106,0
1345123,0
1345124,0
1345149,0
1345151,0
1345168,0
1345175,0
1345195,0
1345200,0
1345216,0
1345222,0
1345236,0
1345274,0
1345284,0
1345290,0
1345295,0
1345297,0
1345347,0
1345378,0
1345394,0
1345406,0
1345454,1
1345457,0
1345458,0
1345460,0
1345472,0
1345490,0
1345493,0
1345505,0
1345521,0
1345522,0
1345547,0
1345562,0
1345563,0
1345577,0
1345582,0
1345584,0
1345607,0
1345638,0
1345650,0
1345653,0
1345688,0
1345698,0
1345708,0
1345713,0
1345725,0
1345767,0
1345771,0
1345782,0
1345837,0
1345838,0
1345840,0
1345877,0
1345894,0
1345953,0
1345959,0
1345965,0
1346022,0
1346029,0
1346037,0
1346041,0
1346051,0
1346054,0
1346059,0
1346095,0
1346101,0
