feature,propna
linka071__tu,0.1247383725013696
linka072__tu,0.1247383725013696
linka032__tu,0.1247383725013696
linka073__tu,0.1247383725013696
linka085__tu,0.1247383725013696
linka084__tu,0.1247383725013696
linka074__tu,0.1247383725013696
linka075__tu,0.1247383725013696
linka076__tu,0.1247383725013696
linka077__tu,0.1247383725013696
linka078__tu,0.1247383725013696
linka079__tu,0.1247383725013696
linka081__tu,0.1247383725013696
linka083__tu,0.1247383725013696
linka015__tu,0.1247383725013696
linka064__tu,0.1247383725013696
linka069__tu,0.1247383725013696
linka062__tu,0.1247383725013696
linka014__tu,0.1247383725013696
linka016__tu,0.1247383725013696
linka061__tu,0.1247383725013696
linka041__tu,0.1247383725013696
linka013__tu,0.1247383725013696
linka038__tu,0.1247383725013696
linka019__tu,0.1247383725013696
linka018__tu,0.1247383725013696
linka017__tu,0.1247383725013696
linka047__tu,0.1247383725013696
linka054__tu,0.1247383725013696
linka055__tu,0.1247383725013696
linka056__tu,0.1247383725013696
linka057__tu,0.1247383725013696
linka046__tu,0.1247383725013696
linka045__tu,0.1247383725013696
linka059__tu,0.1247383725013696
linka031__tu,0.1247383725013696
linka080__tu,0.1247383725013696
linka060__tu,0.1247383725013696
linka012__tu,0.1247383725013696
rvlr18__tu,0.0773293626824369
rvlr22__tu,0.0683953981654469
rvlr21__tu,0.039823568247903465
rvlr25__tu,0.03782887805700319
rvlr28__tu,0.021562320021351614
rvlr24__tu,0.02118304794280015
linkt002__tu,0.019328828892104116
rvlr27__tu,0.011940046917360829
linkf001__tu,0.007416876202784138
agg424__tu,0.0003792720785514616
agg501__tu,0.0003792720785514616
agg502__tu,0.0003792720785514616
agg503__tu,0.0003792720785514616
agg504__tu,0.0003792720785514616
agg505__tu,0.0003792720785514616
agg506__tu,0.0003792720785514616
agg423__tu,0.0003792720785514616
agg411__tu,0.0003792720785514616
agg422__tu,0.0003792720785514616
agg421__tu,0.0003792720785514616
agg407__tu,0.0003792720785514616
agg408__tu,0.0003792720785514616
agg409__tu,0.0003792720785514616
agg410__tu,0.0003792720785514616
agg508__tu,0.0003792720785514616
agg412__tu,0.0003792720785514616
agg413__tu,0.0003792720785514616
agg414__tu,0.0003792720785514616
agg415__tu,0.0003792720785514616
agg416__tu,0.0003792720785514616
agg417__tu,0.0003792720785514616
agg418__tu,0.0003792720785514616
agg419__tu,0.0003792720785514616
agg103__tu,0.0003792720785514616
agg420__tu,0.0003792720785514616
agg507__tu,0.0003792720785514616
agg522__tu,0.0003792720785514616
agg509__tu,0.0003792720785514616
agg604__tu,0.0003792720785514616
agg606__tu,0.0003792720785514616
agg607__tu,0.0003792720785514616
agg608__tu,0.0003792720785514616
agg609__tu,0.0003792720785514616
agg102__tu,0.0003792720785514616
agg101__tu,0.0003792720785514616
rtl_trd__tu,0.0003792720785514616
rev_trd__tu,0.0003792720785514616
nomt_trd__tu,0.0003792720785514616
inst_trd__tu,0.0003792720785514616
bc_trd__tu,0.0003792720785514616
trd__tu,0.0003792720785514616
aggs911__tu,0.0003792720785514616
agg610__tu,0.0003792720785514616
agg611__tu,0.0003792720785514616
agg605__tu,0.0003792720785514616
agg603__tu,0.0003792720785514616
agg510__tu,0.0003792720785514616
agg602__tu,0.0003792720785514616
agg511__tu,0.0003792720785514616
agg512__tu,0.0003792720785514616
agg513__tu,0.0003792720785514616
agg514__tu,0.0003792720785514616
agg515__tu,0.0003792720785514616
agg516__tu,0.0003792720785514616
agg517__tu,0.0003792720785514616
agg518__tu,0.0003792720785514616
agg519__tu,0.0003792720785514616
agg520__tu,0.0003792720785514616
agg521__tu,0.0003792720785514616
agg405__tu,0.0003792720785514616
agg523__tu,0.0003792720785514616
agg524__tu,0.0003792720785514616
agg601__tu,0.0003792720785514616
agg406__tu,0.0003792720785514616
agg305__tu,0.0003792720785514616
agg404__tu,0.0003792720785514616
agg120__tu,0.0003792720785514616
agg122__tu,0.0003792720785514616
agg123__tu,0.0003792720785514616
agg124__tu,0.0003792720785514616
agg201__tu,0.0003792720785514616
agg202__tu,0.0003792720785514616
agg203__tu,0.0003792720785514616
agg204__tu,0.0003792720785514616
agg205__tu,0.0003792720785514616
agg206__tu,0.0003792720785514616
agg207__tu,0.0003792720785514616
agg208__tu,0.0003792720785514616
agg209__tu,0.0003792720785514616
agg210__tu,0.0003792720785514616
agg211__tu,0.0003792720785514616
agg212__tu,0.0003792720785514616
agg121__tu,0.0003792720785514616
agg119__tu,0.0003792720785514616
agg403__tu,0.0003792720785514616
agg118__tu,0.0003792720785514616
agg613__tu,0.0003792720785514616
agg104__tu,0.0003792720785514616
agg105__tu,0.0003792720785514616
agg106__tu,0.0003792720785514616
agg107__tu,0.0003792720785514616
agg108__tu,0.0003792720785514616
agg109__tu,0.0003792720785514616
agg110__tu,0.0003792720785514616
agg111__tu,0.0003792720785514616
agg112__tu,0.0003792720785514616
agg113__tu,0.0003792720785514616
agg114__tu,0.0003792720785514616
agg115__tu,0.0003792720785514616
agg116__tu,0.0003792720785514616
agg117__tu,0.0003792720785514616
agg213__tu,0.0003792720785514616
agg214__tu,0.0003792720785514616
agg215__tu,0.0003792720785514616
agg216__tu,0.0003792720785514616
agg312__tu,0.0003792720785514616
agg313__tu,0.0003792720785514616
agg314__tu,0.0003792720785514616
agg315__tu,0.0003792720785514616
agg316__tu,0.0003792720785514616
agg317__tu,0.0003792720785514616
agg318__tu,0.0003792720785514616
agg319__tu,0.0003792720785514616
agg320__tu,0.0003792720785514616
agg321__tu,0.0003792720785514616
agg322__tu,0.0003792720785514616
agg323__tu,0.0003792720785514616
agg324__tu,0.0003792720785514616
agg401__tu,0.0003792720785514616
agg402__tu,0.0003792720785514616
agg311__tu,0.0003792720785514616
agg310__tu,0.0003792720785514616
agg309__tu,0.0003792720785514616
agg223__tu,0.0003792720785514616
agg217__tu,0.0003792720785514616
agg218__tu,0.0003792720785514616
agg219__tu,0.0003792720785514616
agg220__tu,0.0003792720785514616
agg221__tu,0.0003792720785514616
agg222__tu,0.0003792720785514616
agg224__tu,0.0003792720785514616
agg308__tu,0.0003792720785514616
agg301__tu,0.0003792720785514616
agg302__tu,0.0003792720785514616
agg303__tu,0.0003792720785514616
agg304__tu,0.0003792720785514616
agg306__tu,0.0003792720785514616
agg307__tu,0.0003792720785514616
agg612__tu,0.0003792720785514616
walshr03__tu,0.0003792720785514616
agg614__tu,0.0003792720785514616
balmag02__tu,0.0003792720785514616
rvlr02__tu,0.0003792720785514616
rvlr03__tu,0.0003792720785514616
rvlr04__tu,0.0003792720785514616
rvlr05__tu,0.0003792720785514616
rvlr06__tu,0.0003792720785514616
rvlr07__tu,0.0003792720785514616
rvlr08__tu,0.0003792720785514616
rvlr09__tu,0.0003792720785514616
rvlr10__tu,0.0003792720785514616
