feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
bi36s__tu,float64,0.0008110648583322143,-4.0,999.0,1003.0,366.28331571453185,166.14228809185911,-1.0,-1.0,126,0.0006773319571668171,0.6036210381456156,0.031237904786479163,0.16182858125833227,0.020137186599578548
bi35s__tu,float64,0.0008110648583322143,-4.0,387319.0,387323.0,8441.12547110414,1432.1854115597987,-1.0,-1.0,10881,0.058492452586763,0.8863479981077711,0.031237904786479163,5.375650453704898e-06,0.00014514256225003225
bi34s__tu,float64,0.0008110648583322143,-5.0,623.0,628.0,35.536086943284104,10.073571152109405,-1.0,-1.0,293,0.0015750655829355352,0.8863587494086784,1.0751300907409796e-05,5.375650453704898e-06,0.00019352341633337633
bi33s__tu,float64,0.0008110648583322143,-4.0,471446.0,471450.0,14086.227305936938,3029.7644121188664,-1.0,-1.0,14122,0.07591493570722058,0.8863479981077711,0.031237904786479163,5.375650453704898e-06,0.00014514256225003225
bi32s__tu,float64,0.0008110648583322143,-4.0,440390.0,440394.0,9826.353375220877,1799.5430535844837,-1.0,-1.0,12199,0.06557755988474605,0.8863479981077711,0.031237904786479163,5.375650453704898e-06,0.00014514256225003225
br101s__tu,float64,0.0008110648583322143,-5.0,407032.0,407037.0,5577.577527739328,1336.8753601685803,0.0,-1.0,11741,0.06311551197694922,0.4891626886853309,0.0006934589085279319,1.0751300907409796e-05,0.14089042274115168
br109s__tu,float64,0.0008110648583322143,-5.0,15.0,20.0,1.5379569187823146,-0.33632219498559324,0.0,-1.0,20,0.00010751300907409797,0.4897110050316088,0.0012417752548058315,5.375650453704898e-06,0.2888498258289253
co01s__tu,float64,0.0008110648583322143,-4.0,34.0,38.0,2.52503492076071,1.7021567109620264,1.0,0.0,33,0.00017739646497226164,0.031237904786479163,0.031237904786479163,5.375650453704898e-06,0.3233991312948867
co02s__tu,float64,0.0008110648583322143,-4.0,32.0,36.0,1.7050029201371946,0.07178643615877521,0.0,0.0,32,0.00017202081451855674,0.3544918935191158,0.031237904786479163,5.375650453704898e-06,0.3913204747774481
fi31s__tu,float64,0.0008110648583322143,-5.0,100.0,105.0,42.033799136919725,21.906522814260526,-1.0,-3.0,33,0.00017739646497226164,0.6309723476540662,6.450780544445878e-05,0.21122005762697285,0.1129316647314325
fi30s__tu,float64,0.0008110648583322143,-5.0,100.0,105.0,46.850879841733075,29.72495484453619,-1.0,-3.0,27,0.00014514256225003225,0.6309723476540662,6.450780544445878e-05,0.29987528490947407,0.04527910377155636
fi29s__tu,float64,0.0008110648583322143,-4.0,12.0,16.0,2.065782935239862,-1.0745710230937944,-1.0,-3.0,17,9.138605771298327e-05,0.6309078398486216,0.031237904786479163,5.375650453704898e-06,0.00014514256225003225
fi28s__tu,float64,0.0008110648583322143,-5.0,223755.0,223760.0,11614.630907836192,6381.993194426525,-1.0,-3.0,26297,0.1413634799810777,0.6309723476540662,6.450780544445878e-05,5.375650453704898e-06,0.00014514256225003225
fi27s__tu,float64,0.0008110648583322143,-6.0,4.0,10.0,2.187842264747912,-2.826925557992517,-3.0,-3.0,11,5.913215499075388e-05,0.8561637208102181,0.22632025975142991,4.3005203629639184e-05,0.04186556573345375
fi25s__tu,float64,0.0008110648583322143,-6.0,5.0,11.0,2.1698804816200066,-2.0675880531544317,-3.0,-3.0,12,6.450780544445878e-05,0.746849868834129,0.11711929643486862,5.375650453704898e-06,0.06188986367350449
fi24s__tu,float64,0.0008110648583322143,-6.0,6.0,12.0,2.0594981294717716,-1.6086849008730055,-3.0,-3.0,13,6.988345589816368e-05,0.6832290457145315,0.05360061067389154,5.3756504537048986e-05,0.06970068378273771
fi21s__tu,float64,0.0008110648583322143,-5.0,999.0,1004.0,35.48519271522665,28.521077925428976,17.0,-1.0,254,0.0013654152152410442,0.20300606373371177,0.00016664516406485183,0.00014514256225003225,0.0007310884617038662
fi20s__tu,float64,0.0008110648583322143,-5.0,345.0,350.0,52.46385052752171,66.71112329591881,66.0,-1.0,309,0.0016610759901948137,0.20300606373371177,0.00016664516406485183,5.375650453704898e-06,0.00024190427041672044
fi12s__tu,float64,0.0008110648583322143,-4.0,12.0,16.0,2.065921229127452,-1.0706360469616825,-1.0,-3.0,16,8.601040725927837e-05,0.6289403517825657,0.031237904786479163,5.375650453704898e-06,0.002112630628306025
se21s__tu,float64,0.0008110648583322143,-5.0,999.0,1004.0,36.2625317828603,17.385557777491076,-1.0,-1.0,284,0.0015266847288521912,0.612813400421451,5.3756504537048986e-05,0.00014514256225003225,0.0005214380940093751
fi06s__tu,float64,0.0008110648583322143,-5.0,12.0,17.0,1.0036518956176816,-0.12728465144282458,0.0,0.0,16,8.601040725927837e-05,0.20300606373371177,0.00016664516406485183,2.1502601814819592e-05,0.6764664774437706
