feature,bin,min,max,count,prop,target,bin_label
at36s__tu_binned,-0.018711800334849,0.0,3.0,18473,0.738388360380526,0.4904455150760569,1
at36s__tu_binned,0.047945237975431,4.0,21.0,2195,0.0877368294827724,0.4738041002277904,2
at36s__tu_binned,0.0553673928251204,22.0,999.0,4350,0.1738748101367015,0.4719540229885057,3
at57s__tu_binned,0.0549669402374258,0.0,14.0,13526,0.5406507314733392,0.4720538222682242,1
at57s__tu_binned,-0.0645919311334879,15.0,168606.0,11492,0.4593492685266608,0.5019143752175427,2
at101s__tu_binned,0.0983476368030793,0.0,6.0,1368,0.0546806299464385,0.4612573099415205,1
at101s__tu_binned,-0.00567581525522,7.0,685688.0,23650,0.9453193700535616,0.4871881606765327,2
at101b__tu_binned,0.0914320661834195,0.0,6.0,1391,0.0555999680230234,0.4629762760603882,1
at101b__tu_binned,-0.0053717803086011,7.0,550996.0,23627,0.9444000319769764,0.4871122021416176,2
at103s__tu_binned,-0.0697756607933687,0.0,90.0,11214,0.4482372691662003,0.5032102728731942,1
at103s__tu_binned,0.0567782433209664,91.0,100.0,13804,0.5517627308337997,0.4716024340770791,2
at104s__tu_binned,0.2206585923242714,0.0,12.0,9071,0.3625789431609241,0.4310439863300628,1
at104s__tu_binned,0.1323076067934842,13.0,17.0,1908,0.0762650891358222,0.4528301886792453,2
at104s__tu_binned,-0.005102522976588,18.0,27.0,3049,0.1218722519785754,0.4870449327648409,3
at104s__tu_binned,-0.1082778615884923,28.0,47.0,4091,0.1635222639699416,0.5128330481544855,4
at104s__tu_binned,-0.1659667649812424,48.0,58.0,2185,0.0873371172755616,0.5272311212814645,5
at104s__tu_binned,-0.2269858570471844,59.0,76.0,1792,0.0716284275321768,0.5424107142857143,6
at104s__tu_binned,-0.3478113561933444,77.0,100.0,2922,0.1167959069469981,0.5722108145106092,7
au01s__tu_binned,-0.1233452230860201,0.0,0.0,6899,0.2757614517547366,0.5165966082040876,1
au01s__tu_binned,-0.0603622142634014,1.0,1.0,7585,0.303181709169398,0.5008569545154911,2
au01s__tu_binned,-0.0033835207729907,2.0,2.0,4819,0.1926213126548885,0.4866154803901224,3
au01s__tu_binned,0.1620566008683411,3.0,4.0,4117,0.1645615157086897,0.4454700024289531,4
au01s__tu_binned,0.4226386874168419,5.0,27.0,1598,0.0638740107122871,0.3823529411764705,5
au02s__tu_binned,0.0783037197136857,0.0,0.0,9731,0.3889599488368375,0.4662419073065461,1
au02s__tu_binned,0.0113172803374365,1.0,3.0,8384,0.3351187145255416,0.4829437022900763,2
au02s__tu_binned,-0.1238868147252984,4.0,4.0,6903,0.2759213366376209,0.5167318557149065,3
au03s__tu_binned,-0.0423851015763773,0.0,0.0,18283,0.7307938284435207,0.4963627413444183,1
au03s__tu_binned,0.1154287109055125,1.0,4.0,6735,0.2692061715564793,0.4570155902004454,2
au06s__tu_binned,0.0545506741108964,0.0,0.0,16755,0.6697178031817091,0.4721575649059982,1
au06s__tu_binned,-0.0466628425232146,1.0,3.0,1363,0.0544807738428331,0.4974321349963316,2
au06s__tu_binned,-0.1230454179571067,6.0,6.0,6900,0.2758014229754577,0.5165217391304348,3
au09s__tu_binned,0.1217034624656577,0.0,0.0,11843,0.4733791669997602,0.4554589208815334,1
au09s__tu_binned,-0.0932788456523819,1.0,7.0,6274,0.250779438804061,0.5090851131654447,2
au09s__tu_binned,-0.1233259622148033,8.0,12.0,6901,0.2758413941961787,0.5165917982901029,3
au12s__tu_binned,0.0113172803374365,0.0,3.0,8384,0.3351187145255416,0.4829437022900763,1
au12s__tu_binned,-0.0057027982878385,4.0,4.0,16634,0.6648812854744584,0.4871949020079355,2
au20s__tu_binned,-0.1882734928907371,1.0,37.0,10629,0.424854105044368,0.5327876564117038,1
au20s__tu_binned,-0.1592792725376414,38.0,47.0,1330,0.0531617235590374,0.5255639097744361,2
au20s__tu_binned,-0.1468654799380088,48.0,56.0,1313,0.0524822128067791,0.5224676313785225,3
au20s__tu_binned,0.0204437121674823,57.0,85.0,5172,0.20673115356943,0.4806651198762567,4
au20s__tu_binned,0.2177365717902033,86.0,102.0,2374,0.0948916779918458,0.4317607413647851,5
au20s__tu_binned,0.3655886981676968,103.0,118.0,1566,0.0625949316492125,0.3959131545338442,6
au20s__tu_binned,0.4102418344400132,119.0,132.0,1264,0.0505236229914461,0.3852848101265823,7
au20s__tu_binned,0.5381266846763259,133.0,374.0,1370,0.0547605723878807,0.3554744525547445,8
au21s__tu_binned,-0.1236257673437167,0.0,0.0,6900,0.2758014229754577,0.5166666666666667,1
au21s__tu_binned,-0.092954223023334,1.0,24.0,6275,0.2508194100247821,0.509003984063745,2
au21s__tu_binned,-0.0239680708820287,25.0,36.0,2973,0.1188344392037732,0.4917591658257652,3
au21s__tu_binned,0.0132060079939665,37.0,56.0,3851,0.1539291709968822,0.4824720851726824,4
au21s__tu_binned,0.1649878375461759,57.0,75.0,2579,0.1030857782396674,0.4447460255913145,5
au21s__tu_binned,0.4329617553774563,76.0,285.0,2440,0.0975297785594372,0.3799180327868852,6
au24s__tu_binned,-0.0408252578774843,0.0,0.0,19120,0.7642497401870653,0.4959728033472803,1
au24s__tu_binned,0.1328498851505,1.0,3.0,5898,0.2357502598129346,0.4526958290946083,2
au25s__tu_binned,-0.0395101197579343,0.0,0.0,20317,0.8120952913901991,0.4956440419353251,1
au25s__tu_binned,0.1716671123638288,1.0,3.0,4701,0.1879047086098009,0.4430972133588598,2
au28s__tu_binned,-0.017917221316728,800.0,15617.0,20045,0.8012231193540651,0.4902469443751559,1
au28s__tu_binned,0.017803262598799,15619.0,28046.0,3534,0.1412582940282996,0.4813242784380305,2
au28s__tu_binned,0.2072743234210944,28052.0,163656.0,1439,0.0575185866176353,0.4343293954134816,3
au29s__tu_binned,0.0116789626027994,1.0,3.0,8369,0.3345191462147254,0.4828533875014936,1
au29s__tu_binned,-0.0058691816657024,4.0,4.0,16649,0.6654808537852746,0.4872364706588984,2
au30s__tu_binned,0.2620386839096767,0.0,67.0,1663,0.0664721400591574,0.4209260372820204,1
au30s__tu_binned,-0.018479644037963,75.0,100.0,23355,0.9335278599408426,0.4903874973239135,2
au31s__tu_binned,0.2360856173783042,0.0,50.0,3389,0.1354624670237429,0.4272646798465624,1
au31s__tu_binned,-0.0366831112752316,67.0,100.0,21629,0.8645375329762571,0.4949373526284155,2
au32s__tu_binned,0.2451975697877959,1.0,6090.0,1374,0.054920457270765,0.4250363901018922,1
au32s__tu_binned,0.0152807148404245,6091.0,13141.0,2743,0.1096410584379247,0.4819540648924535,2
au32s__tu_binned,-0.0179839641678178,13150.0,73501.0,20901,0.8354384842913103,0.4902636237500598,3
au33s__tu_binned,0.235477853982138,1.0,6090.0,1357,0.0542409465185066,0.4274134119380987,1
au33s__tu_binned,0.0112738571814891,6091.0,13141.0,2640,0.1055240227036533,0.4829545454545454,2
au33s__tu_binned,-0.016493127230985,13150.0,136457.0,21021,0.84023503077784,0.4898910613196327,3
au34s__tu_binned,0.3005434415422786,0.0,56.0,1815,0.0725477656087617,0.4115702479338843,1
au34s__tu_binned,0.1654541565457963,57.0,78.0,1788,0.0714685426492925,0.4446308724832215,2
au34s__tu_binned,-0.0316876101102605,79.0,88.0,1426,0.0569989607482612,0.4936886395511921,3
au34s__tu_binned,-0.0394243151754983,89.0,264.0,19989,0.7989847309936845,0.4956225924258342,4
au35s__tu_binned,0.2286691089144937,1.0,6090.0,1403,0.0560796226716763,0.4290805416963649,1
au35s__tu_binned,0.0295948240580988,6091.0,13141.0,2891,0.1155567991046446,0.4783811829816672,2
au35s__tu_binned,-0.0194855080911195,13145.0,69881.0,20724,0.8283635782236789,0.4906388728044779,3
au36s__tu_binned,-0.1056992408792359,0.0,0.0,7712,0.3082580542009753,0.5121887966804979,1
au36s__tu_binned,-0.0580332940545298,1.0,4.0,7280,0.2909904868494684,0.5002747252747253,2
au36s__tu_binned,0.0436567691459366,5.0,20.0,2567,0.1026061235910144,0.4748733930658356,3
au36s__tu_binned,0.089610276842389,21.0,40.0,1668,0.0666719961627628,0.4634292565947242,4
au36s__tu_binned,0.1695511737819918,41.0,999.0,5791,0.231473339195779,0.4436194094284234,5
